# tool: derive_exclusion_list  run: 2026-09-01 09:49:39
# cohort: 24 male BAMs (8-plex, 16 hr) -- conforming capture. 24 female normals (12-plex) excluded as nonconforming.
# spread source: /goast/hemat_data/pon_twist/pon/cnvkit_pon_male.cnn  md5=04875c55ade3edc699accea2818a00fe
# criterion: male tile median depth < 30x. Replaces retired GC<0.35 rule (derived from nonconforming 12-plex female batch).
# backbone depth source: /goast/hemat_data/nf-core-tspipe/qc/twist_pon48/backbone_male (24 files)
# gc column: annotation only, from /goast/hemat_data/nf-core-tspipe/qc/twist_early/backbone_tile_depth.tsv  md5=bc8f78e5bab041e3ebb31a30daf10193
name	chrom	start	end	male_median_depth	min_depth	max_depth	gc	criterion
bb.chr12.84084954	chr12	84084954	84085074	17.6	3.6	100.3	0.275	male_median<30x
bb.chr12.95430565	chr12	95430565	95430685	12.5	3.5	87.5	0.292	male_median<30x
bb.chr14.38278901	chr14	38278901	38279021	18.9	7.1	89.7	0.267	male_median<30x
bb.chr16.34131542	chr16	34131542	34131662	10.0	2.7	68.6	0.267	male_median<30x
bb.chr17.69163985	chr17	69163985	69164105	16.2	4.3	98.8	0.275	male_median<30x
bb.chr17.83047723	chr17	83047723	83047843	8.6	0.0	86.9	0.275	male_median<30x
bb.chr18.1240485	chr18	1240485	1240605	16.5	5.4	77.1	0.258	male_median<30x
bb.chr18.5946835	chr18	5946835	5946955	23.0	4.8	101.7	0.275	male_median<30x
bb.chr18.74210507	chr18	74210507	74210627	10.1	2.7	80.0	0.242	male_median<30x
bb.chr2.62794855	chr2	62794855	62794975	19.9	5.3	122.4	0.308	male_median<30x
bb.chr2.75470767	chr2	75470767	75470887	22.3	8.6	92.6	0.308	male_median<30x
bb.chr2.78473453	chr2	78473453	78473573	18.5	4.0	122.3	0.283	male_median<30x
bb.chr2.148242308	chr2	148242308	148242428	9.1	2.1	59.0	0.258	male_median<30x
bb.chr2.154315030	chr2	154315030	154315150	13.9	3.5	106.5	0.267	male_median<30x
bb.chr2.207964743	chr2	207964743	207964863	15.1	5.3	86.8	0.275	male_median<30x
bb.chr21.13557639	chr21	13557639	13557759	9.9	1.9	72.1	0.242	male_median<30x
bb.chr21.21440787	chr21	21440787	21440907	13.5	7.1	86.3	0.258	male_median<30x
bb.chr21.29874941	chr21	29874941	29875061	11.0	2.8	83.0	0.250	male_median<30x
bb.chr3.1150297	chr3	1150297	1150417	19.8	4.5	100.8	0.258	male_median<30x
bb.chr3.146189906	chr3	146189906	146190026	18.1	0.4	92.0	0.250	male_median<30x
bb.chr3.164652892	chr3	164652892	164653012	16.1	4.5	105.0	0.275	male_median<30x
bb.chr3.176332209	chr3	176332209	176332329	17.8	3.4	93.3	0.267	male_median<30x
bb.chr4.37343785	chr4	37343785	37343905	18.9	3.8	120.4	0.250	male_median<30x
bb.chr4.46716751	chr4	46716751	46716871	17.2	3.4	119.0	0.258	male_median<30x
bb.chr4.58999921	chr4	58999921	59000041	23.0	3.8	112.2	0.300	male_median<30x
bb.chr4.125834526	chr4	125834526	125834646	17.8	4.6	105.7	0.300	male_median<30x
bb.chr4.141710314	chr4	141710314	141710434	17.8	2.7	97.0	0.292	male_median<30x
bb.chr4.155852411	chr4	155852411	155852531	23.3	11.8	73.9	0.283	male_median<30x
bb.chr5.7822274	chr5	7822274	7822394	18.5	1.7	106.1	0.283	male_median<30x
bb.chr5.42717830	chr5	42717830	42717950	24.6	3.5	106.6	0.292	male_median<30x
bb.chr5.50405861	chr5	50405861	50405981	11.7	1.1	88.5	0.233	male_median<30x
bb.chr5.69217403	chr5	69217403	69217523	15.1	0.7	98.0	0.258	male_median<30x
bb.chr5.108159955	chr5	108159955	108160075	10.6	2.9	78.1	0.250	male_median<30x
bb.chr5.121581432	chr5	121581432	121581552	17.1	5.4	98.4	0.300	male_median<30x
bb.chr5.141139629	chr5	141139629	141139749	26.8	3.4	104.6	0.275	male_median<30x
bb.chr6.14008704	chr6	14008704	14008824	9.9	1.9	48.0	0.258	male_median<30x
bb.chr6.67390757	chr6	67390757	67390877	15.3	3.2	83.8	0.233	male_median<30x
bb.chr6.136696208	chr6	136696208	136696328	15.2	2.3	95.9	0.258	male_median<30x
bb.chr6.149345781	chr6	149345781	149345901	11.2	2.1	74.5	0.258	male_median<30x
bb.chr7.150531547	chr7	150531547	150531667	12.5	3.8	81.8	0.275	male_median<30x
bb.chr8.39754744	chr8	39754744	39754864	14.9	1.0	63.1	0.300	male_median<30x
bb.chr8.76831942	chr8	76831942	76832062	9.7	0.0	63.2	0.283	male_median<30x
bb.chr9.64881493	chr9	64881493	64881613	4.1	0.7	478.5	0.375	male_median<30x
bb.chr9.74037213	chr9	74037213	74037333	17.1	3.0	107.0	0.283	male_median<30x
bb.chrX.5567260	chrX	5567260	5567380	9.7	1.9	54.2	0.275	male_median<30x
bb.chrX.19041430	chrX	19041430	19041550	23.5	3.3	113.7	0.283	male_median<30x
bb.chrX.37946054	chrX	37946054	37946174	24.1	1.8	100.6	0.283	male_median<30x
bb.chrX.45211875	chrX	45211875	45211995	9.4	0.6	184.0	0.317	male_median<30x
bb.chrX.88415043	chrX	88415043	88415163	5.3	0.0	36.7	0.250	male_median<30x
bb.chrX.90982562	chrX	90982562	90982682	14.0	1.5	549.9	0.300	male_median<30x
bb.chrX.92547227	chrX	92547227	92547347	2.8	0.0	17.3	0.275	male_median<30x
bb.chrX.94459969	chrX	94459969	94460089	7.4	1.9	38.1	0.267	male_median<30x
bb.chrX.96551813	chrX	96551813	96551933	10.5	1.0	62.4	0.267	male_median<30x
bb.chrX.117473417	chrX	117473417	117473537	12.3	3.4	1165.2	0.325	male_median<30x
bb.chrX.143953354	chrX	143953354	143953474	9.3	2.0	267.9	0.292	male_median<30x
bb.chrX.145161535	chrX	145161535	145161655	16.0	2.8	69.0	0.292	male_median<30x
bb.chrY.13360922	chrY	13360922	13361042	12.6	0.9	50.6	0.267	male_median<30x
