Chromosome	Start	End	Clinical.Exon
chr2	197400250	197400433	exon_19
chr2	197400713	197400935	exon_18
chr2	197401401	197401521	exon_17
chr2	197401740	197401887	exon_16
chr2	197401983	197402129	exon_15
chr2	197402554	197402825	exon_14
chr2	197402945	197403065	exon_13
chr2	197403583	197403763	exon_12
chr2	197405064	197405184	exon_11
chr2	197405273	197405471	exon_10
chr2	197407997	197408117	exon_9
chr2	197408367	197408580	exon_8
chr2	197409768	197410006	exon_7
chr2	197416739	197416910	exon_6
chr2	197418488	197418608	exon_5
chr2	197420423	197420543	exon_4
chr2	197421019	197421139	exon_3
chr2	197423806	197423973	exon_2
chr2	197434922	197435042	exon_1
chr3	38138659	38139027	exon_1
chr3	38139862	38139997	exon_2
chr3	38140386	38140567	exon_3
chr3	38140752	38140872	exon_4
chr3	38141130	38143021	exon_5
chr3	41199503	41199669	exon_1
chr3	41224019	41224139	exon_2
chr3	41224524	41224752	exon_3
chr3	41224952	41225206	exon_4
chr3	41225332	41225571	exon_5
chr3	41225658	41225860	exon_6
chr3	41227206	41227351	exon_7
chr3	41233336	41233456	exon_8
chr3	41233527	41233866	exon_9
chr3	41234137	41234296	exon_10
chr3	41235722	41235842	exon_11
chr3	41236347	41236498	exon_12
chr3	41236587	41236707	exon_13
chr3	41237986	41238106	exon_14
chr3	41239132	41240442	exon_15
chr3	47016434	47017253	exon_21
chr3	47017626	47017746	exon_20
chr3	47019721	47019841	exon_19
chr3	47037660	47037780	exon_18
chr3	47042559	47042699	exon_17
chr3	47046485	47046620	exon_16
chr3	47056819	47057489	exon_15
chr3	47062161	47062345	exon_14
chr3	47067037	47067157	exon_13
chr3	47083718	47084381	exon_12
chr3	47086193	47086313	exon_11
chr3	47088111	47088246	exon_10
chr3	47097956	47098076	exon_9
chr3	47101446	47101566	exon_8
chr3	47103316	47103436	exon_7
chr3	47105997	47106117	exon_6
chr3	47113878	47113998	exon_5
chr3	47116621	47116753	exon_4
chr3	47120180	47124547	exon_3
chr3	47126572	47126692	exon_2
chr3	47163852	47164128	exon_1
chr3	105655459	105659228	exon_19
chr3	105670231	105670351	exon_18
chr3	105678429	105678570	exon_17
chr3	105681477	105681609	exon_16
chr3	105681716	105681836	exon_15
chr3	105685318	105685465	exon_14
chr3	105693471	105693591	exon_13
chr3	105702092	105702458	exon_12
chr3	105703986	105704172	exon_11
chr3	105720045	105720249	exon_10
chr3	105734007	105734139	exon_9
chr3	105737153	105737273	exon_8
chr3	105740492	105740630	exon_7
chr3	105745916	105746036	exon_6
chr3	105751460	105751617	exon_5
chr3	105776394	105776541	exon_4
chr3	105853412	105853663	exon_3
chr3	105867408	105867590	exon_2
chr3	105868734	105869011	exon_1
chr3	128479425	128481317	exon_6
chr3	128481820	128481940	exon_5
chr3	128482979	128483579	intron4
chr3	128483858	128484004	exon_4
chr3	128485725	128486367	exon_3
chr3	128486801	128487075	exon_2
chr3	128492897	128493200	exon_1
chr3	169764399	169765734	TERC
chr4	24527473	24528040	exon_14
chr4	24529599	24529769	exon_13
chr4	24532862	24533053	exon_12
chr4	24537050	24537170	exon_11
chr4	24540106	24540298	exon_10
chr4	24540832	24540952	exon_9
chr4	24541871	24542021	exon_8
chr4	24542922	24543042	exon_7
chr4	24548853	24549021	exon_6
chr4	24554723	24554942	exon_5
chr4	24556249	24556409	exon_4
chr4	24570652	24570846	exon_3
chr4	24576241	24576677	exon_2
chr4	24584321	24584553	exon_1
chr4	54657957	54658077	exon_1
chr4	54695510	54695780	exon_2
chr4	54698282	54698564	exon_3
chr4	54699628	54699765	exon_4
chr4	54703722	54703891	exon_5
chr4	54707096	54707286	exon_6
chr4	54709420	54709540	exon_7
chr4	54723579	54723699	exon_8
chr4	54725855	54726049	exon_9
chr4	54727209	54727329	exon_10
chr4	54727417	54727537	exon_11
chr4	54727813	54727933	exon_12
chr4	54728004	54728124	exon_13
chr4	54729333	54729484	exon_14
chr4	54731320	54731440	exon_15
chr4	54731873	54731993	exon_16
chr4	54733069	54733189	exon_17
chr4	54736492	54736612	exon_18
chr4	54736706	54736826	exon_19
chr4	54737166	54737286	exon_20
chr4	54738427	54740714	exon_21
chr4	105146863	105146983	exon_1
chr4	105190358	105190504	exon_2
chr4	105233895	105237350	exon_3
chr4	105241335	105241455	exon_4
chr4	105242818	105242938	exon_5
chr4	105243568	105243777	exon_6
chr4	105259617	105259768	exon_7
chr4	105261753	105261873	exon_8
chr4	105269608	105269746	exon_9
chr4	105272562	105272917	exon_10
chr4	105275046	105279802	exon_11
chr4	163128667	163129347	exon_8
chr4	163133145	163133265	exon_7
chr4	163137154	163137274	exon_6
chr4	163140221	163140382	exon_5
chr4	163145747	163145867	exon_4
chr4	163148325	163148445	exon_3
chr4	163164215	163164390	exon_2
chr4	163166361	163166889	exon_1
chr5	35856889	35857058	exon_1
chr5	35860850	35860989	exon_2
chr5	35867304	35867462	exon_3
chr5	35871054	35871212	exon_4
chr5	35873478	35873647	exon_5
chr5	35874434	35874554	exon_6
chr5	35875468	35875588	exon_7
chr5	35875981	35879602	exon_8
chr5	132481607	132484074	exon_10
chr5	132484360	132484496	exon_9
chr5	132485624	132485744	exon_8
chr5	132486250	132486370	exon_7
chr5	132486560	132486680	exon_6
chr5	132486728	132486848	exon_5
chr5	132486952	132487129	exon_4
chr5	132487923	132488043	exon_3
chr5	132489384	132489504	exon_2
chr5	132490543	132490772	exon_1
chr5	149492966	149496859	exon_10
chr5	149505445	149505594	exon_9
chr5	149507018	149507138	exon_8
chr5	149509877	149509997	exon_7
chr5	149511770	149511890	exon_6
chr5	149513068	149513208	exon_5
chr5	149520274	149520394	exon_4
chr5	149525046	149525166	exon_3
chr5	149550066	149550186	exon_2
chr5	149550840	149551438	exon_1
chr5	150053293	150054223	exon_21
chr5	150054314	150054434	exon_20
chr5	150055225	150055345	exon_19
chr5	150056020	150056140	exon_18
chr5	150056218	150056338	exon_17
chr5	150057275	150057395	exon_16
chr5	150057491	150057611	exon_15
chr5	150059698	150059861	exon_14
chr5	150060855	150060975	exon_13
chr5	150061481	150061601	exon_12
chr5	150061724	150061844	exon_11
chr5	150068211	150068331	exon_10
chr5	150069871	150070062	exon_9
chr5	150070180	150070300	exon_8
chr5	150070452	150070572	exon_7
chr5	150073299	150073492	exon_6
chr5	150077274	150077434	exon_5
chr5	150078110	150078247	exon_4
chr5	150080050	150080335	exon_3
chr5	150080765	150081023	exon_2
chr5	150086377	150086553	exon_1
chr5	171387847	171388005	exon_1
chr5	171390015	171390135	exon_2
chr5	171391303	171391423	exon_3
chr5	171391680	171391800	exon_4
chr5	171392701	171392821	exon_5
chr5	171392864	171392984	exon_6
chr5	171400118	171400238	exon_7
chr5	171400834	171400954	exon_8
chr5	171405298	171405418	exon_9
chr5	171407675	171407795	exon_10
chr5	171410511	171410899	exon_11
chr5	177511575	177511926	exon_17
chr5	177512089	177512209	exon_16
chr5	177512296	177512416	exon_15
chr5	177512494	177512644	exon_14
chr5	177512775	177512895	exon_13
chr5	177513001	177513121	exon_12
chr5	177513351	177513483	exon_11
chr5	177513683	177513846	exon_10
chr5	177514699	177514836	exon_9
chr5	177514914	177515068	exon_8
chr5	177515183	177515303	exon_7
chr5	177515683	177515820	exon_6
chr5	177515898	177516018	exon_5
chr5	177516106	177516226	exon_4
chr5	177516286	177516446	exon_3
chr5	177516718	177516838	exon_2
chr5	177516907	177517027	exon_1
chr6	41934950	41936106	exon_5
chr6	41936557	41936694	exon_4
chr6	41937233	41937393	exon_3
chr6	41940368	41940584	exon_2
chr6	41941450	41941807	exon_1
chr6	99542385	99543608	exon_12
chr6	99545109	99545229	exon_11
chr6	99546382	99546502	exon_10
chr6	99549479	99549599	exon_9
chr6	99550201	99550321	exon_8
chr6	99558485	99558605	exon_5
chr6	99561317	99561437	exon_4
chr6	99561578	99561698	exon_3
chr6	99562833	99562953	exon_2
chr6	99568494	99568659	exon_1
chr6	135181306	135181535	exon_1
chr6	135185900	135186020	exon_2
chr6	135187828	135187948	exon_3
chr6	135189765	135189885	exon_4
chr6	135190125	135190346	exon_5
chr6	135192322	135192557	exon_6
chr6	135193799	135193919	exon_7
chr6	135194346	135194466	exon_8
chr6	135195746	135196001	exon_9
chr6	135196959	135197322	exon_10
chr6	135198906	135199049	exon_11
chr6	135200080	135200200	exon_12
chr6	135200291	135200411	exon_13
chr6	135201632	135201752	exon_14
chr6	135203209	135203329	exon_15
chr6	135217862	135219171	exon_16
chr7	50304714	50304921	exon_1
chr7	50319040	50319160	exon_2
chr7	50327636	50327756	exon_3
chr7	50376531	50376792	exon_4
chr7	50382538	50382706	exon_5
chr7	50387346	50387466	exon_6
chr7	50391727	50391862	exon_7
chr7	50399916	50405100	exon_8
chr7	93099532	93106104	exon_3
chr7	93114787	93114907	exon_2
chr7	93117859	93117979	exon_1
chr7	93130054	93135990	exon_5
chr7	93144731	93144851	exon_4
chr7	93145383	93146039	exon_3
chr7	93146881	93147145	exon_2
chr7	93148192	93148384	exon_1
chr7	101817608	101817728	exon_1
chr7	101916108	101916228	exon_2
chr7	102028050	102028170	exon_3
chr7	102070334	102070454	exon_4
chr7	102097362	102097500	exon_5
chr7	102104336	102104456	exon_6
chr7	102111675	102111795	exon_7
chr7	102115196	102115316	exon_8
chr7	102158527	102158647	exon_9
chr7	102170436	102170556	exon_10
chr7	102178467	102178656	exon_11
chr7	102189791	102189911	exon_12
chr7	102193806	102193926	exon_13
chr7	102195492	102195612	exon_14
chr7	102196632	102197304	exon_15
chr7	102198798	102198918	exon_16
chr7	102200070	102200190	exon_17
chr7	102201358	102202203	exon_18
chr7	102204389	102204555	exon_19
chr7	102205075	102205195	exon_20
chr7	102227365	102227668	exon_21
chr7	102234050	102234239	exon_22
chr7	102239318	102239583	exon_23
chr7	102248410	102258232	exon_24
chr7	134646849	134646969	exon_1
chr7	134661445	134662107	exon_2
chr7	134678851	134679815	exon_3
chr7	139359892	139360321	exon_1
chr7	139376045	139376165	exon_2
chr7	139398587	139398707	exon_3
chr7	139402130	139402250	exon_4
chr7	139405642	139405786	exon_5
chr7	139407172	139407349	exon_6
chr7	139409551	139409671	exon_7
chr7	139412513	139412633	exon_8
chr7	139417536	139417728	exon_9
chr7	139422161	139423453	exon_10
chr7	148807381	148807705	exon_20
chr7	148809065	148809185	exon_19
chr7	148809271	148809391	exon_18
chr7	148810296	148810416	exon_17
chr7	148811607	148811727	exon_16
chr7	148813957	148814136	exon_15
chr7	148814915	148815035	exon_14
chr7	148815491	148815611	exon_13
chr7	148816672	148816792	exon_12
chr7	148817220	148817390	exon_11
chr7	148817875	148818116	exon_10
chr7	148819571	148819691	exon_9
chr7	148826452	148826631	exon_8
chr7	148827157	148827277	exon_7
chr7	148828738	148828879	exon_6
chr7	148829726	148829846	exon_5
chr7	148832630	148832750	exon_4
chr7	148846472	148846592	exon_3
chr7	148847182	148847302	exon_2
chr7	148884166	148884286	exon_1
chr7	152644878	152649362	exon_3
chr7	152660683	152660803	exon_2
chr7	152676033	152676153	exon_1
chr8	2935359	2938743	exon_70
chr8	2942470	2942603	exon_69
chr8	2949282	2949402	exon_68
chr8	2950225	2950345	exon_67
chr8	2951112	2951274	exon_66
chr8	2954156	2954276	exon_65
chr8	2955587	2955767	exon_64
chr8	2957690	2957810	exon_63
chr8	2961131	2961251	exon_62
chr8	2962464	2962638	exon_61
chr8	2963220	2963394	exon_60
chr8	2965773	2965953	exon_59
chr8	2966568	2966745	exon_58
chr8	2973115	2973298	exon_57
chr8	2974449	2974623	exon_56
chr8	2978610	2978799	exon_55
chr8	2998009	2998183	exon_54
chr8	2999956	3000130	exon_53
chr8	3018475	3018649	exon_52
chr8	3029317	3029512	exon_51
chr8	3052460	3052646	exon_50
chr8	3087095	3087284	exon_49
chr8	3091514	3091661	exon_48
chr8	3096847	3097036	exon_47
chr8	3106523	3106643	exon_46
chr8	3107679	3107799	exon_45
chr8	3108601	3108747	exon_44
chr8	3110156	3110334	exon_43
chr8	3118397	3118586	exon_42
chr8	3142463	3142673	exon_41
chr8	3151393	3151513	exon_40
chr8	3157867	3157987	exon_39
chr8	3162156	3162276	exon_38
chr8	3181100	3181220	exon_37
chr8	3187864	3187984	exon_36
chr8	3188887	3189007	exon_35
chr8	3189910	3190114	exon_34
chr8	3199708	3199828	exon_33
chr8	3201607	3201727	exon_32
chr8	3205500	3205620	exon_31
chr8	3214495	3214690	exon_30
chr8	3219253	3219441	exon_29
chr8	3223727	3223866	exon_28
chr8	3230038	3230230	exon_27
chr8	3284142	3284345	exon_26
chr8	3307696	3307816	exon_25
chr8	3308310	3308502	exon_24
chr8	3343292	3343449	exon_23
chr8	3347990	3348160	exon_22
chr8	3359150	3359339	exon_21
chr8	3367030	3367246	exon_20
chr8	3369250	3369370	exon_19
chr8	3387492	3387681	exon_18
chr8	3396192	3396380	exon_17
chr8	3399389	3399528	exon_16
chr8	3406025	3406220	exon_15
chr8	3407897	3408224	exon_14
chr8	3409421	3409604	exon_13
chr8	3468706	3468826	exon_12
chr8	3493613	3493733	exon_11
chr8	3574944	3575064	exon_10
chr8	3586136	3586256	exon_9
chr8	3616690	3616810	exon_8
chr8	3708375	3708495	exon_7
chr8	3753924	3754044	exon_6
chr8	3997901	3998109	exon_5
chr8	4031903	4032098	exon_4
chr8	4419947	4420067	exon_3
chr8	4637340	4637557	exon_2
chr8	4994330	4994913	exon_1
chr8	76681245	76681619	exon_1
chr8	76704041	76706677	exon_2
chr8	76707544	76708047	exon_3
chr8	76778206	76778438	exon_4
chr8	76833288	76833408	exon_5
chr8	76842651	76842771	exon_6
chr8	76848993	76849127	exon_7
chr8	76849510	76849711	exon_8
chr8	76850242	76850362	exon_9
chr8	76850884	76856299	exon_10
chr8	76863092	76867280	exon_11
chr8	116845932	116847690	exon_14
chr8	116848928	116849048	exon_13
chr8	116850616	116850766	exon_12
chr8	116851946	116852095	exon_11
chr8	116852547	116852707	exon_10
chr8	116854243	116854467	exon_9
chr8	116856165	116856285	exon_8
chr8	116856647	116856767	exon_7
chr8	116857265	116857472	exon_6
chr8	116858343	116858463	exon_5
chr8	116861829	116861949	exon_4
chr8	116863133	116863253	exon_3
chr8	116866584	116866760	exon_2
chr8	116874609	116874775	exon_1
chr8	127736229	127736622	exon_1
chr8	127738246	127739018	exon_2
chr8	127740394	127742950	exon_3
chr9	5066672	5066792	exon_10
chr9	5069020	5069207	exon_11
chr9	5069927	5070047	exon_12
chr9	5072490	5072625	exon_13
chr9	5073694	5073814	exon_14
chr9	5077455	5077575	exon_15
chr9	5078304	5078443	exon_16
chr9	21967766	21968241	exon_3
chr9	21970900	21971207	exon_2
chr9	21974676	21974856	exon_1
chr9	22002901	22006246	exon_2
chr9	22008796	22009304	exon_1
chr9	36833267	36840635	exon_10
chr9	36846835	36846955	exon_9
chr9	36881994	36882114	exon_8
chr9	36923358	36923478	exon_7
chr9	36966547	36966723	exon_6
chr9	37002650	37002770	exon_5
chr9	37006464	37006584	exon_4
chr9	37014995	37015193	exon_3
chr9	37020634	37020800	exon_2
chr9	37033984	37034267	exon_1
chr9	83968081	83969439	exon_17
chr9	83970160	83970330	exon_16
chr9	83970709	83970829	exon_15
chr9	83970793	83970913	exon_14
chr9	83971247	83971367	exon_13
chr9	83971621	83971741	exon_12
chr9	83971880	83972188	exon_11
chr9	83972846	83972966	exon_10
chr9	83973281	83973401	exon_9
chr9	83973865	83973985	exon_8
chr9	83974510	83974630	exon_7
chr9	83975412	83975532	exon_6
chr9	83976953	83977073	exon_5
chr9	83977685	83977805	exon_4
chr9	83978185	83978305	exon_3
chr9	83978351	83978471	exon_2
chr9	83980095	83980215	exon_1
chr9	136494431	136497557	exon_34
chr9	136498894	136499014	exon_33
chr9	136499110	136499258	exon_32
chr9	136500550	136500846	exon_31
chr9	136501746	136501912	exon_30
chr9	136501994	136502114	exon_29
chr9	136502270	136502487	exon_28
chr9	136503180	136503329	exon_27
chr9	136504671	136505103	exon_26
chr9	136505308	136505880	exon_25
chr9	136506521	136506641	exon_24
chr9	136506714	136506972	exon_23
chr9	136507303	136507436	exon_22
chr9	136507953	136508138	exon_21
chr9	136508230	136508384	exon_20
chr9	136508868	136509070	exon_19
chr9	136509731	136509960	exon_18
chr9	136510651	136510804	exon_17
chr9	136511150	136511270	exon_16
chr9	136513016	136513136	exon_15
chr9	136513390	136513536	exon_14
chr9	136514508	136514701	exon_13
chr9	136515283	136515403	exon_12
chr9	136515481	136515715	exon_11
chr9	136515976	136516096	exon_10
chr9	136517267	136517387	exon_9
chr9	136517750	136517936	exon_8
chr9	136518135	136518291	exon_7
chr9	136518589	136518823	exon_6
chr9	136519442	136519562	exon_5
chr9	136522848	136523187	exon_4
chr9	136523715	136523978	exon_3
chr9	136544016	136544136	exon_2
chr9	136545724	136546047	exon_1
chr10	27004114	27005722	exon_34
chr10	27006896	27007016	exon_33
chr10	27012880	27013109	exon_32
chr10	27014492	27014710	exon_31
chr10	27017500	27017791	exon_30
chr10	27028828	27028948	exon_27
chr10	27029261	27029381	exon_26
chr10	27033223	27033376	exon_25
chr10	27034794	27035751	exon_24
chr10	27037184	27037322	exon_23
chr10	27037869	27038053	exon_22
chr10	27039963	27040177	exon_21
chr10	27043424	27043566	exon_20
chr10	27046351	27046522	exon_18
chr10	27048799	27048978	exon_17
chr10	27053318	27053438	exon_16
chr10	27060307	27060427	exon_15
chr10	27060508	27060628	exon_14
chr10	27061125	27061245	exon_13
chr10	27063978	27064098	exon_12
chr10	27066464	27066584	exon_11
chr10	27067160	27067280	exon_10
chr10	27077336	27077539	exon_9
chr10	27077591	27077711	exon_8
chr10	27079050	27079170	exon_7
chr10	27082718	27082838	exon_6
chr10	27092397	27092517	exon_4
chr10	27093347	27093521	exon_3
chr10	27093680	27093800	exon_2
chr10	87863623	87864547	exon_1
chr10	87894005	87894125	exon_2
chr10	87931032	87931152	exon_4
chr10	87933011	87933250	exon_5
chr10	87952116	87952258	exon_6
chr10	87957851	87958018	exon_7
chr10	87960893	87961117	exon_8
chr10	87965285	87971929	exon_9
chr10	110567693	110567830	exon_1
chr10	110568900	110569020	exon_2
chr10	110573680	110573800	exon_3
chr10	110575303	110575423	exon_4
chr10	110577381	110577501	exon_5
chr10	110577808	110577928	exon_6
chr10	110578598	110578718	exon_7
chr10	110580901	110581021	exon_8
chr10	110581921	110582097	exon_9
chr10	110582543	110582663	exon_10
chr10	110583382	110583547	exon_11
chr10	110583840	110583960	exon_12
chr10	110584181	110584395	exon_13
chr10	110589598	110589718	exon_14
chr10	110589888	110590008	exon_15
chr10	110590410	110590571	exon_16
chr10	110590989	110591131	exon_17
chr10	110593071	110593222	exon_18
chr10	110596396	110596549	exon_19
chr10	110598137	110598289	exon_20
chr10	110599652	110599811	exon_21
chr10	110600431	110600551	exon_22
chr10	110601014	110601134	exon_23
chr10	110601635	110601883	exon_24
chr10	110601964	110602177	exon_25
chr10	110602472	110602664	exon_26
chr10	110602823	110603001	exon_27
chr10	110603175	110603295	exon_28
chr10	110604229	110606047	exon_29
chr11	532240	532521	exon_6
chr11	532631	532751	exon_5
chr11	533451	533611	exon_4
chr11	533764	533943	exon_3
chr11	534210	534374	exon_2
chr11	535414	535591	exon_1
chr11	14277920	14279423	exon_6
chr11	14281599	14281719	exon_5
chr11	14294463	14294583	exon_4
chr11	14294750	14294870	exon_3
chr11	14295749	14295869	exon_2
chr11	14358761	14359182	exon_1
chr11	32387773	32389178	exon_10
chr11	32391964	32392084	exon_9
chr11	32392649	32392769	exon_8
chr11	32396255	32396406	exon_7
chr11	32399947	32400067	exon_6
chr11	32416456	32416576	exon_5
chr11	32417542	32417662	exon_4
chr11	32427947	32428067	exon_3
chr11	32428496	32428616	exon_2
chr11	32434698	32435538	exon_1
chr11	64764604	64766154	exon_13
chr11	64766898	64767078	exon_12
chr11	64767175	64767295	exon_11
chr11	64767569	64767843	exon_10
chr11	64768104	64768285	exon_9
chr11	64769014	64769134	exon_8
chr11	64769219	64769339	exon_7
chr11	64769424	64769608	exon_6
chr11	64769960	64770080	exon_5
chr11	64770254	64770407	exon_4
chr11	64773411	64773531	exon_3
chr11	64776500	64776620	exon_2
chr11	64778360	64778541	exon_1
chr11	86244751	86245342	exon_1
chr11	86250294	86250447	exon_2
chr11	86252144	86252264	exon_3
chr11	86255184	86255304	exon_4
chr11	86256388	86256508	exon_5
chr11	86257508	86257628	exon_6
chr11	86264170	86264290	exon_7
chr11	86266081	86266215	exon_8
chr11	86268447	86268567	exon_9
chr11	86276978	86277137	exon_10
chr11	86277916	86278036	exon_11
chr11	86278397	86278809	exon_12
chr11	102317451	102317571	exon_1
chr11	102321835	102325361	exon_2
chr11	102325446	102325566	exon_3
chr11	102328049	102328169	exon_4
chr11	102328890	102329010	exon_5
chr11	102330997	102331240	exon_6
chr11	102335964	102336219	exon_7
chr11	102336697	102336817	exon_8
chr11	102336907	102339402	exon_9
chr11	108223065	108223185	exon_1
chr11	108227588	108227708	exon_2
chr11	108227770	108227890	exon_3
chr11	108229176	108229322	exon_4
chr11	108235668	108235833	exon_5
chr11	108243951	108244117	exon_6
chr11	108244786	108245025	exon_7
chr11	108246962	108247126	exon_8
chr11	108248931	108249101	exon_9
chr11	108250699	108251071	exon_10
chr11	108251835	108252030	exon_11
chr11	108252802	108252922	exon_12
chr11	108253812	108254038	exon_13
chr11	108256216	108256336	exon_14
chr11	108257482	108257602	exon_15
chr11	108258981	108259101	exon_16
chr11	108267169	108267341	exon_17
chr11	108268408	108268608	exon_18
chr11	108271027	108271147	exon_19
chr11	108271249	108271405	exon_20
chr11	108272519	108272639	exon_21
chr11	108272725	108272845	exon_22
chr11	108279488	108279608	exon_23
chr11	108280993	108281167	exon_24
chr11	108282708	108282878	exon_25
chr11	108284225	108284472	exon_26
chr11	108287596	108287716	exon_27
chr11	108288978	108289098	exon_28
chr11	108289600	108289800	exon_29
chr11	108292617	108292792	exon_30
chr11	108293311	108293476	exon_31
chr11	108294925	108295058	exon_32
chr11	108297285	108297405	exon_33
chr11	108299712	108299884	exon_34
chr11	108301646	108301788	exon_35
chr11	108302851	108303028	exon_36
chr11	108304673	108304851	exon_37
chr11	108307865	108307985	exon_38
chr11	108310158	108310314	exon_39
chr11	108312393	108312513	exon_40
chr11	108315803	108315923	exon_41
chr11	108316009	108316129	exon_42
