chrom	start	end	name	gene	n_samples	median_depth_mq0	median_depth_mq20	median_retained	min_retained	max_retained	flag	xa_n_lowmapq	xa_n_with_xa	xa_modal_locus	xa_modal_fraction
chr1	36475375	36475672	CSF3R_exon_4	CSF3R	23	1450.6	1450.6	1.000	1.000	1.000	OK				
chr1	36479424	36479544	CSF3R_exon_3	CSF3R	23	868.9	868.9	1.000	1.000	1.000	OK				
chr1	36481417	36481537	CSF3R_exon_2	CSF3R	23	883.6	883.6	1.000	1.000	1.000	OK				
chr1	36482802	36482922	CSF3R_exon_1	CSF3R	23	908.7	908.7	1.000	0.999	1.000	OK				
chr1	43337811	43337931	MPL_exon_1	MPL	23	962.3	962.3	1.000	1.000	1.000	OK				
chr1	43338097	43338230	MPL_exon_2	MPL	23	1151.4	1151.4	1.000	1.000	1.000	OK				
chr1	43338540	43338719	MPL_exon_3	MPL	23	1143.7	1143.7	1.000	1.000	1.000	OK				
chr1	43339269	43339568	MPL_exon_4	MPL	23	1333.1	1333.1	1.000	1.000	1.000	OK				
chr1	43339962	43340125	MPL_exon_5	MPL	23	1400.2	1400.2	1.000	1.000	1.000	OK				
chr1	43340388	43340508	MPL_exon_6	MPL	23	1108.1	1108.1	1.000	1.000	1.000	OK				
chr1	43346443	43346628	MPL_exon_7	MPL	23	1500.8	1500.1	1.000	1.000	1.000	OK				
chr1	43346790	43346933	MPL_exon_8	MPL	23	1033.1	1033.1	1.000	1.000	1.000	OK				
chr1	43348841	43349001	MPL_exon_9	MPL	23	1035.1	1035.1	1.000	0.999	1.000	OK				
chr1	43349242	43349362	MPL_exon_10	MPL	23	893.3	893.3	1.000	0.999	1.000	OK				
chr1	43352195	43352315	MPL_exon_11	MPL	23	1014.1	1014.1	1.000	1.000	1.000	OK				
chr1	43352516	43354465	MPL_exon_12	MPL	23	1273.6	1273.6	1.000	1.000	1.000	OK				
chr1	92473041	92476206	GFI1_exon_7	GFI1	23	1866.5	1866.5	1.000	1.000	1.000	OK				
chr1	92478586	92478752	GFI1_exon_6	GFI1	23	953.6	953.6	1.000	0.999	1.000	OK				
chr1	92480346	92480484	GFI1_exon_5	GFI1	23	1115.2	1115.2	1.000	0.999	1.000	OK				
chr1	92480599	92481087	GFI1_exon_4	GFI1	23	1295.8	1295.7	1.000	0.999	1.000	OK				
chr1	92482862	92483045	GFI1_exon_3	GFI1	23	947.6	947.6	1.000	0.999	1.000	OK				
chr1	92483371	92483585	GFI1_exon_2	GFI1	23	1305.1	1304.9	1.000	1.000	1.000	OK				
chr1	92486724	92486924	GFI1_exon_1	GFI1	23	894.4	894.4	1.000	1.000	1.000	OK				
chr1	114704467	114708049	NRAS_exon_7	NRAS	23	1486.8	1486.8	1.000	1.000	1.000	OK				
chr1	114708152	114708272	NRAS_exon_6	NRAS	23	790.0	790.0	1.000	1.000	1.000	OK				
chr1	114708531	114708651	NRAS_exon_5	NRAS	23	1000.7	1000.7	1.000	1.000	1.000	OK				
chr1	114709567	114709727	NRAS_exon_4	NRAS	23	1304.1	1304.1	1.000	1.000	1.000	OK				
chr1	114713798	114713977	NRAS_exon_3	NRAS	23	935.9	935.9	1.000	0.999	1.000	OK				
chr1	114716052	114716172	NRAS_exon_2	NRAS	23	914.2	914.2	1.000	1.000	1.000	OK				
chr1	114716653	114716773	NRAS_exon_1	NRAS	23	818.0	818.0	1.000	1.000	1.000	OK				
chr1	155897806	155900617	RIT1_exon_6	RIT1	23	1596.1	1596.1	1.000	1.000	1.000	OK				
chr1	155904309	155904501	RIT1_exon_5	RIT1	23	1305.8	1305.8	1.000	1.000	1.000	OK				
chr1	155904728	155904848	RIT1_exon_4	RIT1	23	1101.0	1101.0	1.000	1.000	1.000	OK				
chr1	155910432	155910552	RIT1_exon_3	RIT1	23	1117.8	1117.8	1.000	1.000	1.000	OK				
chr1	155910654	155910803	RIT1_exon_2	RIT1	23	1088.5	1088.5	1.000	1.000	1.000	OK				
chr1	155911234	155911354	RIT1_exon_1	RIT1	23	575.9	575.9	1.000	0.997	1.000	OK				
chr1	190097656	190099133	BRINP3_exon_8	BRINP3	23	1903.1	1903.1	1.000	1.000	1.000	OK				
chr1	190160666	190160889	BRINP3_exon_7	BRINP3	23	1444.6	1444.2	1.000	1.000	1.000	OK				
chr1	190226080	190226317	BRINP3_exon_6	BRINP3	23	1564.6	1564.6	1.000	1.000	1.000	OK				
chr1	190234363	190234483	BRINP3_exon_5	BRINP3	23	1036.7	1036.7	1.000	1.000	1.000	OK				
chr1	190264863	190265054	BRINP3_exon_4	BRINP3	23	1465.8	1465.2	1.000	1.000	1.000	OK				
chr1	190281558	190281749	BRINP3_exon_3	BRINP3	23	1283.4	1283.4	1.000	1.000	1.000	OK				
chr1	190454653	190454939	BRINP3_exon_2	BRINP3	23	1678.1	1678.1	1.000	1.000	1.000	OK				
chr1	190477446	190477863	BRINP3_exon_1	BRINP3	23	1500.2	1500.2	1.000	1.000	1.000	OK				
chr1	202331655	202331959	UBE2T_exon_7	UBE2T	23	1228.3	1228.3	1.000	1.000	1.000	OK				
chr1	202332986	202333106	UBE2T_exon_6	UBE2T	23	823.2	823.1	1.000	1.000	1.000	OK				
chr1	202333217	202333337	UBE2T_exon_5	UBE2T	23	1343.8	1343.8	1.000	1.000	1.000	OK				
chr1	202333441	202333561	UBE2T_exon_4	UBE2T	23	1296.6	1296.6	1.000	1.000	1.000	OK				
chr1	202334948	202335068	UBE2T_exon_3	UBE2T	23	827.8	827.8	1.000	0.998	1.000	OK				
chr1	202335644	202335817	UBE2T_exon_2	UBE2T	23	1293.2	1293.2	1.000	1.000	1.000	OK				
chr1	202341827	202341947	UBE2T_exon_1	UBE2T	23	891.5	891.5	1.000	1.000	1.000	OK				
chr1	231363754	231366474	EGLN1_exon_5	EGLN1	23	1333.4	1333.3	1.000	0.999	1.000	OK				
chr1	231367517	231367637	EGLN1_exon_4	EGLN1	23	876.5	876.5	1.000	1.000	1.000	OK				
chr1	231370560	231370697	EGLN1_exon_3	EGLN1	23	1110.3	1108.8	1.000	0.998	1.000	OK				
chr1	231373978	231374098	EGLN1_exon_2	EGLN1	23	853.7	853.7	1.000	1.000	1.000	OK				
chr1	231420996	231422286	EGLN1_exon_1	EGLN1	23	992.5	992.3	1.000	0.999	1.000	OK				
chr2	15940548	15940742	MYCN_exon_1	MYCN	23	963.3	963.3	1.000	0.999	1.000	OK				
chr2	15941946	15942853	MYCN_exon_2	MYCN	23	955.8	955.3	1.000	0.999	1.000	OK				
chr2	15945491	15947003	MYCN_exon_3	MYCN	23	1373.4	1373.3	1.000	0.999	1.000	OK				
chr2	25227872	25234419	DNMT3A_exon_23	DNMT3A	23	1588.0	1588.0	1.000	1.000	1.000	OK				
chr2	25235704	25235824	DNMT3A_exon_22	DNMT3A	23	914.0	914.0	1.000	1.000	1.000	OK				
chr2	25236928	25237048	DNMT3A_exon_21	DNMT3A	23	882.5	882.5	1.000	0.999	1.000	OK				
chr2	25239119	25239239	DNMT3A_exon_20	DNMT3A	23	946.2	946.2	1.000	1.000	1.000	OK				
chr2	25240300	25240449	DNMT3A_exon_19	DNMT3A	23	1295.2	1295.2	1.000	1.000	1.000	OK				
chr2	25240623	25240743	DNMT3A_exon_18	DNMT3A	23	1116.0	1116.0	1.000	0.999	1.000	OK				
chr2	25241560	25241706	DNMT3A_exon_17	DNMT3A	23	1054.1	1054.1	1.000	1.000	1.000	OK				
chr2	25243892	25244012	DNMT3A_exon_16	DNMT3A	23	1090.2	1090.2	1.000	1.000	1.000	OK				
chr2	25244153	25244337	DNMT3A_exon_15	DNMT3A	23	1318.2	1318.2	1.000	0.999	1.000	OK				
chr2	25244534	25244654	DNMT3A_exon_14	DNMT3A	23	957.8	957.8	1.000	0.999	1.000	OK				
chr2	25245228	25245348	DNMT3A_exon_13	DNMT3A	23	908.7	908.7	1.000	0.999	1.000	OK				
chr2	25245944	25246064	DNMT3A_exon_12	DNMT3A	23	1222.5	1222.2	1.000	1.000	1.000	OK				
chr2	25246158	25246308	DNMT3A_exon_11	DNMT3A	23	1192.4	1192.4	1.000	1.000	1.000	OK				
chr2	25246618	25246775	DNMT3A_exon_10	DNMT3A	23	1293.5	1293.5	1.000	1.000	1.000	OK				
chr2	25247043	25247163	DNMT3A_exon_9	DNMT3A	23	993.4	993.4	1.000	1.000	1.000	OK				
chr2	25247589	25247748	DNMT3A_exon_8	DNMT3A	23	1039.4	1039.1	1.000	0.999	1.000	OK				
chr2	25248035	25248251	DNMT3A_exon_7	DNMT3A	23	1244.5	1244.5	1.000	0.999	1.000	OK				
chr2	25274939	25275086	DNMT3A_exon_6	DNMT3A	23	1129.3	1129.1	1.000	0.999	1.000	OK				
chr2	25275454	25275574	DNMT3A_exon_5	DNMT3A	23	862.8	861.3	1.000	0.998	1.000	OK				
chr2	25282439	25282710	DNMT3A_exon_4	DNMT3A	23	1188.8	1188.8	1.000	1.000	1.000	OK				
chr2	25300129	25300249	DNMT3A_exon_3	DNMT3A	23	1138.5	1138.5	1.000	1.000	1.000	OK				
chr2	25313911	25314160	DNMT3A_exon_2	DNMT3A	23	990.5	990.5	1.000	1.000	1.000	OK				
chr2	25341805	25341925	DNMT3A_exon_1	DNMT3A	23	119.1	119.1	1.000	0.996	1.000	OK				
chr2	25733751	25744475	ASXL2_exon_13	ASXL2	23	1684.8	1684.7	1.000	1.000	1.000	OK				
chr2	25749694	25750412	ASXL2_exon_12	ASXL2	23	1850.5	1850.5	1.000	1.000	1.000	OK				
chr2	25753525	25753645	ASXL2_exon_11	ASXL2	23	985.0	985.0	1.000	1.000	1.000	OK				
chr2	25756005	25756125	ASXL2_exon_10	ASXL2	23	1001.7	1001.7	1.000	1.000	1.000	OK				
chr2	25759480	25759644	ASXL2_exon_9	ASXL2	23	1334.7	1334.7	1.000	1.000	1.000	OK				
chr2	25767581	25767725	ASXL2_exon_8	ASXL2	23	1119.8	1119.8	1.000	1.000	1.000	OK				
chr2	25768743	25768863	ASXL2_exon_7	ASXL2	23	1026.2	1026.2	1.000	1.000	1.000	OK				
chr2	25771434	25771554	ASXL2_exon_6	ASXL2	23	992.3	992.3	1.000	1.000	1.000	OK				
chr2	25799383	25799534	ASXL2_exon_5	ASXL2	23	1245.6	1245.6	1.000	1.000	1.000	OK				
chr2	25806221	25806341	ASXL2_exon_4	ASXL2	23	910.9	910.9	1.000	1.000	1.000	OK				
chr2	25835531	25835651	ASXL2_exon_3	ASXL2	23	581.0	581.0	1.000	1.000	1.000	OK				
chr2	25845457	25845577	ASXL2_exon_2	ASXL2	23	401.5	401.5	1.000	1.000	1.000	OK				
chr2	25878164	25878486	ASXL2_exon_1	ASXL2	23	794.5	794.5	1.000	1.000	1.000	OK				
chr2	46297405	46297936	EPAS1_exon_1	EPAS1	23	1134.9	1134.3	1.000	0.999	1.000	OK				
chr2	46346871	46347062	EPAS1_exon_2	EPAS1	23	1452.3	1452.3	1.000	1.000	1.000	OK				
chr2	46356149	46356301	EPAS1_exon_3	EPAS1	23	816.7	816.0	1.000	0.999	1.000	OK				
chr2	46356722	46356842	EPAS1_exon_4	EPAS1	23	1164.5	1164.5	1.000	1.000	1.000	OK				
chr2	46360635	46360755	EPAS1_exon_5	EPAS1	23	1132.3	1132.3	1.000	1.000	1.000	OK				
chr2	46360883	46361089	EPAS1_exon_6	EPAS1	23	1381.1	1381.1	1.000	0.999	1.000	OK				
chr2	46369818	46369938	EPAS1_exon_7	EPAS1	23	1062.2	1062.2	1.000	1.000	1.000	OK				
chr2	46375688	46375836	EPAS1_exon_8	EPAS1	23	981.0	980.9	1.000	1.000	1.000	OK				
chr2	46376537	46376752	EPAS1_exon_9	EPAS1	23	1310.4	1310.4	1.000	1.000	1.000	OK				
chr2	46377892	46378086	EPAS1_exon_10	EPAS1	23	1065.9	1065.6	1.000	1.000	1.000	OK				
chr2	46378650	46378770	EPAS1_exon_11	EPAS1	23	1057.6	1057.6	1.000	1.000	1.000	OK				
chr2	46380225	46380716	EPAS1_exon_12	EPAS1	23	1583.9	1583.9	1.000	1.000	1.000	OK				
chr2	46381597	46381717	EPAS1_exon_13	EPAS1	23	967.8	967.8	1.000	1.000	1.000	OK				
chr2	46381970	46382090	EPAS1_exon_14	EPAS1	23	992.4	992.4	1.000	1.000	1.000	OK				
chr2	46382423	46382597	EPAS1_exon_15	EPAS1	23	1446.2	1446.2	1.000	0.999	1.000	OK				
chr2	46384507	46386696	EPAS1_exon_16	EPAS1	23	1659.8	1659.8	1.000	1.000	1.000	OK				
chr2	197389782	197392460	SF3B1_exon_25	SF3B1	23	1533.1	1533.1	1.000	1.000	1.000	OK				
chr2	197392970	197393187	SF3B1_exon_24	SF3B1	23	1484.2	1484.2	1.000	1.000	1.000	OK				
chr2	197396054	197396327	SF3B1_exon_23	SF3B1	23	1583.2	1583.2	1.000	1.000	1.000	OK				
chr2	197397983	197398115	SF3B1_exon_22	SF3B1	23	896.8	896.8	1.000	1.000	1.000	OK				
chr2	197398459	197398579	SF3B1_exon_21	SF3B1	23	989.2	989.2	1.000	1.000	1.000	OK				
chr2	197400049	197400169	SF3B1_exon_20	SF3B1	23	1138.7	1138.7	1.000	1.000	1.000	OK				
chr2	197400250	197400433	SF3B1_exon_19	SF3B1	23	1581.2	1581.2	1.000	1.000	1.000	OK				
chr2	197400713	197400935	SF3B1_exon_18	SF3B1	23	1361.7	1361.7	1.000	0.999	1.000	OK				
chr2	197401401	197401521	SF3B1_exon_17	SF3B1	23	973.0	973.0	1.000	1.000	1.000	OK				
chr2	197401740	197401887	SF3B1_exon_16	SF3B1	23	1040.7	1040.7	1.000	1.000	1.000	OK				
chr2	197401983	197402129	SF3B1_exon_15	SF3B1	23	1201.8	1201.8	1.000	1.000	1.000	OK				
chr2	197402554	197402825	SF3B1_exon_14	SF3B1	23	1510.2	1510.2	1.000	1.000	1.000	OK				
chr2	197402945	197403065	SF3B1_exon_13	SF3B1	23	971.0	971.0	1.000	1.000	1.000	OK				
chr2	197403583	197403763	SF3B1_exon_12	SF3B1	23	1307.8	1307.8	1.000	1.000	1.000	OK				
chr2	197405064	197405184	SF3B1_exon_11	SF3B1	23	784.8	784.8	1.000	1.000	1.000	OK				
chr2	197405273	197405471	SF3B1_exon_10	SF3B1	23	1416.3	1416.3	1.000	1.000	1.000	OK				
chr2	197407997	197408117	SF3B1_exon_9	SF3B1	23	1025.7	1025.7	1.000	1.000	1.000	OK				
chr2	197408367	197408580	SF3B1_exon_8	SF3B1	23	1350.1	1350.1	1.000	0.999	1.000	OK				
chr2	197409768	197410006	SF3B1_exon_7	SF3B1	23	1389.3	1389.3	1.000	1.000	1.000	OK				
chr2	197416739	197416910	SF3B1_exon_6	SF3B1	23	1419.2	1419.2	1.000	1.000	1.000	OK				
chr2	197418488	197418608	SF3B1_exon_5	SF3B1	23	759.8	759.8	1.000	1.000	1.000	OK				
chr2	197420423	197420543	SF3B1_exon_4	SF3B1	23	1054.1	1054.1	1.000	1.000	1.000	OK				
chr2	197421019	197421139	SF3B1_exon_3	SF3B1	23	851.8	851.8	1.000	1.000	1.000	OK				
chr2	197423806	197423973	SF3B1_exon_2	SF3B1	23	1375.1	1375.1	1.000	1.000	1.000	OK				
chr2	197434922	197435042	SF3B1_exon_1	SF3B1	23	870.6	870.6	1.000	1.000	1.000	OK				
chr2	208248367	208248659	IDH1_exon_4	IDH1	23	1607.3	1607.3	1.000	1.000	1.000	OK				
chr3	36993328	36993568	MLH1_5UTR	MLH1_5UTR	23	1585.8	1585.8	1.000	1.000	1.000	OK				
chr3	38138659	38139027	MYD88_exon_1	MYD88	23	1274.5	1274.5	1.000	1.000	1.000	OK				
chr3	38139862	38139997	MYD88_exon_2	MYD88	23	1050.1	1050.1	1.000	1.000	1.000	OK				
chr3	38140386	38140567	MYD88_exon_3	MYD88	23	1458.9	1458.9	1.000	1.000	1.000	OK				
chr3	38140752	38140872	MYD88_exon_4	MYD88	23	1144.5	1144.5	1.000	1.000	1.000	OK				
chr3	38141130	38143021	MYD88_exon_5	MYD88	23	1911.7	1911.6	1.000	1.000	1.000	OK				
chr3	41199503	41199669	CTNNB1_exon_1	CTNNB1	23	968.9	968.9	1.000	1.000	1.000	OK				
chr3	41224019	41224139	CTNNB1_exon_2	CTNNB1	23	1016.6	1016.6	1.000	1.000	1.000	OK				
chr3	41224524	41224752	CTNNB1_exon_3	CTNNB1	23	1500.4	1500.4	1.000	1.000	1.000	OK				
chr3	41224952	41225206	CTNNB1_exon_4	CTNNB1	23	1869.7	1869.7	1.000	1.000	1.000	OK				
chr3	41225332	41225571	CTNNB1_exon_5	CTNNB1	23	1663.4	1663.4	1.000	1.000	1.000	OK				
chr3	41225658	41225860	CTNNB1_exon_6	CTNNB1	23	1576.0	1576.0	1.000	1.000	1.000	OK				
chr3	41227206	41227351	CTNNB1_exon_7	CTNNB1	23	785.4	785.4	1.000	1.000	1.000	OK				
chr3	41233336	41233456	CTNNB1_exon_8	CTNNB1	23	1318.5	1318.5	1.000	1.000	1.000	OK				
chr3	41233527	41233866	CTNNB1_exon_9	CTNNB1	23	1675.8	1675.8	1.000	1.000	1.000	OK				
chr3	41234137	41234296	CTNNB1_exon_10	CTNNB1	23	1424.5	1424.5	1.000	0.999	1.000	OK				
chr3	41235722	41235842	CTNNB1_exon_11	CTNNB1	23	1010.9	1010.9	1.000	1.000	1.000	OK				
chr3	41236347	41236498	CTNNB1_exon_12	CTNNB1	23	1237.8	1237.8	1.000	1.000	1.000	OK				
chr3	41236587	41236707	CTNNB1_exon_13	CTNNB1	23	1077.8	1077.8	1.000	1.000	1.000	OK				
chr3	41237986	41238106	CTNNB1_exon_14	CTNNB1	23	1048.9	1048.9	1.000	1.000	1.000	OK				
chr3	41239132	41240442	CTNNB1_exon_15	CTNNB1	23	1431.7	1431.7	1.000	1.000	1.000	OK				
chr3	47016434	47017253	SETD2_exon_21	SETD2	23	1868.1	1868.1	1.000	1.000	1.000	OK				
chr3	47017626	47017746	SETD2_exon_20	SETD2	23	1045.1	1045.1	1.000	0.999	1.000	OK				
chr3	47019721	47019841	SETD2_exon_19	SETD2	23	1092.0	1092.0	1.000	1.000	1.000	OK				
chr3	47037660	47037780	SETD2_exon_18	SETD2	23	1107.2	1107.2	1.000	1.000	1.000	OK				
chr3	47042559	47042699	SETD2_exon_17	SETD2	23	868.9	868.9	1.000	1.000	1.000	OK				
chr3	47046485	47046620	SETD2_exon_16	SETD2	23	1036.4	1036.4	1.000	1.000	1.000	OK				
chr3	47056819	47057489	SETD2_exon_15	SETD2	23	1819.3	1819.3	1.000	1.000	1.000	OK				
chr3	47062161	47062345	SETD2_exon_14	SETD2	23	1293.0	1293.0	1.000	1.000	1.000	OK				
chr3	47067037	47067157	SETD2_exon_13	SETD2	23	862.1	862.1	1.000	1.000	1.000	OK				
chr3	47083718	47084381	SETD2_exon_12	SETD2	23	1893.0	1893.0	1.000	1.000	1.000	OK				
chr3	47086193	47086313	SETD2_exon_11	SETD2	23	879.7	879.7	1.000	1.000	1.000	OK				
chr3	47088111	47088246	SETD2_exon_10	SETD2	23	1038.3	1038.3	1.000	1.000	1.000	OK				
chr3	47097956	47098076	SETD2_exon_9	SETD2	23	952.4	952.4	1.000	1.000	1.000	OK				
chr3	47101446	47101566	SETD2_exon_8	SETD2	23	1017.0	1017.0	1.000	0.999	1.000	OK				
chr3	47103316	47103436	SETD2_exon_7	SETD2	23	883.2	883.2	1.000	0.999	1.000	OK				
chr3	47105997	47106117	SETD2_exon_6	SETD2	23	856.9	856.9	1.000	1.000	1.000	OK				
chr3	47113878	47113998	SETD2_exon_5	SETD2	23	1125.0	1125.0	1.000	1.000	1.000	OK				
chr3	47116621	47116753	SETD2_exon_4	SETD2	23	1027.3	1027.3	1.000	0.999	1.000	OK				
chr3	47120180	47124547	SETD2_exon_3	SETD2	23	1908.2	1908.2	1.000	1.000	1.000	OK				
chr3	47126572	47126692	SETD2_exon_2	SETD2	23	398.9	398.9	1.000	1.000	1.000	OK				
chr3	47163852	47164128	SETD2_exon_1	SETD2	23	637.1	637.1	1.000	0.999	1.000	OK				
chr3	49171580	49171700	KLHDC8B_5UTR	KLHDC8B_5UTR	23	1014.3	1014.3	1.000	0.999	1.000	OK				
chr3	105655459	105659228	CBLB_exon_19	CBLB	23	1636.2	1636.2	1.000	1.000	1.000	OK				
chr3	105670231	105670351	CBLB_exon_18	CBLB	23	907.0	907.0	1.000	1.000	1.000	OK				
chr3	105678429	105678570	CBLB_exon_17	CBLB	23	1101.9	1101.9	1.000	1.000	1.000	OK				
chr3	105681477	105681609	CBLB_exon_16	CBLB	23	1127.9	1127.9	1.000	1.000	1.000	OK				
chr3	105681716	105681836	CBLB_exon_15	CBLB	23	1081.7	1081.7	1.000	1.000	1.000	OK				
chr3	105685318	105685465	CBLB_exon_14	CBLB	23	1219.5	1219.5	1.000	0.999	1.000	OK				
chr3	105693471	105693591	CBLB_exon_13	CBLB	23	1195.2	1195.2	1.000	1.000	1.000	OK				
chr3	105702092	105702458	CBLB_exon_12	CBLB	23	1386.9	1386.9	1.000	1.000	1.000	OK				
chr3	105703986	105704172	CBLB_exon_11	CBLB	23	1356.1	1356.1	1.000	1.000	1.000	OK				
chr3	105720045	105720249	CBLB_exon_10	CBLB	23	1286.5	1286.5	1.000	1.000	1.000	OK				
chr3	105734007	105734139	CBLB_exon_9	CBLB	23	1013.6	1013.6	1.000	1.000	1.000	OK				
chr3	105737153	105737273	CBLB_exon_8	CBLB	23	555.8	555.8	1.000	1.000	1.000	OK				
chr3	105740492	105740630	CBLB_exon_7	CBLB	23	1015.5	1015.5	1.000	1.000	1.000	OK				
chr3	105745916	105746036	CBLB_exon_6	CBLB	23	990.8	990.8	1.000	1.000	1.000	OK				
chr3	105751460	105751617	CBLB_exon_5	CBLB	23	1185.5	1185.5	1.000	1.000	1.000	OK				
chr3	105776394	105776541	CBLB_exon_4	CBLB	23	1148.6	1148.6	1.000	1.000	1.000	OK				
chr3	105853412	105853663	CBLB_exon_3	CBLB	23	1082.5	1082.5	1.000	0.999	1.000	OK				
chr3	105867408	105867590	CBLB_exon_2	CBLB	23	1404.1	1404.1	1.000	1.000	1.000	OK				
chr3	105868734	105869011	CBLB_exon_1	CBLB	23	1260.5	1260.5	1.000	0.999	1.000	OK				
chr3	128479425	128481317	GATA2_exon_6	GATA2	23	1620.3	1620.2	1.000	1.000	1.000	OK				
chr3	128481820	128481940	GATA2_exon_5	GATA2	23	792.2	792.2	1.000	1.000	1.000	OK				
chr3	128482979	128483579	GATA2_intron4	GATA2_intron4	23	1623.4	1623.3	1.000	1.000	1.000	OK				
