chromosome	start	end	gene	mean_log2	stdev_log2	n_samples	is_noisy
chr1	26779278	26779535	ARID1A_exon_20	0.018669	0.065240	23	False
chr1	26779535	26779793	ARID1A_exon_20	-0.018091	0.071821	23	False
chr1	26779793	26780050	ARID1A_exon_20	0.023154	0.089199	23	False
chr1	26780050	26780307	ARID1A_exon_20	0.074348	0.093747	23	False
chr1	26780307	26780565	ARID1A_exon_20	-0.070035	0.089624	23	False
chr1	26780565	26780822	ARID1A_exon_20	0.041312	0.128745	23	False
chr1	26780822	26781079	ARID1A_exon_20	0.051415	0.092698	23	False
chr1	26781079	26781337	ARID1A_exon_20	-0.043597	0.122818	23	False
chr1	26781337	26781594	ARID1A_exon_20	0.060264	0.061019	23	False
chr1	26781594	26781852	ARID1A_exon_20	0.112285	0.084798	23	False
chr1	26781872	26782103	ARID1A_exon_20	0.005363	0.134506	23	False
chr1	27885079	27885199	bb.chr1.27885079	0.003047	0.094905	23	False
chr1	29118942	29119062	bb.chr1.29118942	-0.007846	0.082396	23	False
chr1	29811183	29811303	bb.chr1.29811183	-0.002330	0.066104	23	False
chr1	30515623	30515743	bb.chr1.30515623	-0.006371	0.164959	23	False
chr1	31236307	31236427	bb.chr1.31236307	-0.064386	0.127004	23	False
chr1	31848639	31848759	bb.chr1.31848639	-0.003229	0.155310	23	False
chr1	32733706	32733826	bb.chr1.32733706	0.037417	0.111848	23	False
chr1	33848750	33848870	bb.chr1.33848750	-0.017012	0.128456	23	False
chr1	34523293	34523413	bb.chr1.34523293	-0.032181	0.074770	23	False
chr1	36150676	36150796	bb.chr1.36150676	-0.018528	0.105529	23	False
chr1	36466041	36466302	CSF3R_exon_17	0.049867	0.090766	23	False
chr1	36466302	36466564	CSF3R_exon_17	-0.045482	0.141728	23	False
chr1	36466564	36466826	CSF3R_exon_17	0.037390	0.064162	23	False
chr1	36467200	36467320	CSF3R_exon_16	0.020181	0.080792	23	False
chr1	36467531	36467651	CSF3R_exon_15	0.018994	0.110150	23	False
chr1	36467820	36467961	CSF3R_exon_14	0.052805	0.092070	23	False
chr1	36468073	36468220	CSF3R_exon_13	0.049545	0.100843	23	False
chr1	36469145	36469265	CSF3R_exon_12	-0.017896	0.056733	23	False
chr1	36469650	36469839	CSF3R_exon_11	-0.156465	0.073807	23	False
chr1	36471431	36471645	CSF3R_exon_10	0.027491	0.061849	23	False
chr1	36472040	36472160	CSF3R_exon_9	0.049751	0.129419	23	False
chr1	36472236	36472390	CSF3R_exon_8	-0.021195	0.071138	23	False
chr1	36472515	36472685	CSF3R_exon_7	0.032960	0.110670	23	False
chr1	36473433	36473621	CSF3R_exon_6	0.078913	0.067452	23	False
chr1	36473764	36473884	CSF3R_exon_5	-0.068676	0.094976	23	False
chr1	36475375	36475672	CSF3R_exon_4	-0.002421	0.057369	23	False
chr1	36479424	36479544	CSF3R_exon_3	-0.044229	0.065722	23	False
chr1	36481417	36481537	CSF3R_exon_2	0.051555	0.089015	23	False
chr1	36482802	36482922	CSF3R_exon_1	0.021346	0.115549	23	False
chr1	37047842	37047962	bb.chr1.37047842	-0.159400	0.294321	23	False
chr1	37762525	37762645	bb.chr1.37762525	-0.016607	0.135859	23	False
chr1	38495305	38495425	bb.chr1.38495305	-0.023116	0.094272	23	False
chr1	39453502	39453622	bb.chr1.39453502	0.007178	0.106326	23	False
chr1	40075417	40075537	bb.chr1.40075417	-0.078718	0.412323	23	True
chr1	40987721	40987841	bb.chr1.40987721	0.015135	0.079002	23	False
chr1	41865448	41865568	bb.chr1.41865448	0.043943	0.116465	23	False
chr1	42843652	42843772	bb.chr1.42843652	0.104911	0.143665	23	False
chr1	43337811	43337931	MPL_exon_1	-0.015645	0.143619	23	False
chr1	43338097	43338230	MPL_exon_2	-0.026232	0.086401	23	False
chr1	43338540	43338719	MPL_exon_3	-0.091702	0.063248	23	False
chr1	43339269	43339568	MPL_exon_4	-0.009849	0.047462	23	False
chr1	43339962	43340125	MPL_exon_5	-0.047196	0.064020	23	False
chr1	43340388	43340508	MPL_exon_6	0.051740	0.103228	23	False
chr1	43346443	43346628	MPL_exon_7	0.000919	0.047415	23	False
chr1	43346790	43346933	MPL_exon_8	-0.091796	0.128232	23	False
chr1	43348841	43349001	MPL_exon_9	-0.046621	0.105781	23	False
chr1	43349242	43349362	MPL_exon_10	0.061467	0.094461	23	False
chr1	43352195	43352315	MPL_exon_11	0.032852	0.083512	23	False
chr1	43352516	43352780	MPL_exon_12	-0.020313	0.067028	23	False
chr1	43352780	43353044	MPL_exon_12	0.088820	0.095760	23	False
chr1	43353044	43353308	MPL_exon_12	-0.025660	0.077532	23	False
chr1	43353893	43354179	MPL_exon_12	0.061552	0.065217	23	False
chr1	43354179	43354465	MPL_exon_12	0.068586	0.050945	23	False
chr1	43787284	43787404	bb.chr1.43787284	0.038089	0.129720	23	False
chr1	44540268	44540388	bb.chr1.44540268	0.000041	0.190199	23	False
chr1	45508196	45508316	bb.chr1.45508196	0.054055	0.118270	23	False
chr1	46163921	46164041	bb.chr1.46163921	0.016795	0.132780	23	False
chr1	47180263	47180383	bb.chr1.47180263	-0.043221	0.088858	23	False
chr1	47852957	47853077	bb.chr1.47852957	0.026628	0.189964	23	False
chr1	48531147	48531267	bb.chr1.48531147	-0.016708	0.105008	23	False
chr1	50178904	50179024	bb.chr1.50178904	0.042103	0.090988	23	False
chr1	52785183	52785303	bb.chr1.52785183	-0.010507	0.088882	23	False
chr1	53538015	53538135	bb.chr1.53538015	-0.040812	0.064001	23	False
chr1	54190918	54191038	bb.chr1.54190918	0.017132	0.077494	23	False
chr1	55206597	55206717	bb.chr1.55206597	-0.013399	0.183148	23	False
chr1	55826229	55826349	bb.chr1.55826229	0.009970	0.081310	23	False
chr1	56496024	56496144	bb.chr1.56496024	0.060900	0.140315	23	False
chr1	57829032	57829152	bb.chr1.57829032	-0.041673	0.260355	23	False
chr1	58460464	58460584	bb.chr1.58460464	-0.004319	0.121807	23	False
chr1	59485973	59486093	bb.chr1.59485973	0.021553	0.102799	23	False
chr1	60476632	60476752	bb.chr1.60476632	0.081273	0.352803	23	True
chr1	61810166	61810286	bb.chr1.61810166	0.079632	0.101244	23	False
chr1	62840501	62840621	bb.chr1.62840501	-0.037025	0.261205	23	False
chr1	63652512	63652632	bb.chr1.63652512	-0.018750	0.107198	23	False
chr1	64437752	64437872	bb.chr1.64437752	0.025871	0.168537	23	False
chr1	65197238	65197358	bb.chr1.65197238	-0.341987	1.085734	23	True
chr1	66153835	66153955	bb.chr1.66153835	-0.003018	0.083993	23	False
chr1	66826735	66826855	bb.chr1.66826735	-0.009497	0.285537	23	False
chr1	67833548	67833668	bb.chr1.67833548	-0.006656	0.114296	23	False
chr1	68435114	68435234	bb.chr1.68435114	0.058569	0.177051	23	False
chr1	69148839	69148959	bb.chr1.69148839	0.043807	0.115347	23	False
chr1	70130792	70130912	bb.chr1.70130792	-0.048754	0.101708	23	False
chr1	70790764	70790884	bb.chr1.70790764	0.016905	0.100851	23	False
chr1	71491517	71491637	bb.chr1.71491517	0.008762	0.078180	23	False
chr1	73891356	73891476	bb.chr1.73891356	-0.027459	0.145855	23	False
chr1	74561648	74561768	bb.chr1.74561648	0.003635	0.114749	23	False
chr1	75552566	75552686	bb.chr1.75552566	-0.021540	0.138160	23	False
chr1	76318891	76319011	bb.chr1.76318891	-0.016954	0.094805	23	False
chr1	77082086	77082206	bb.chr1.77082086	0.013181	0.084928	23	False
chr1	78828070	78828190	bb.chr1.78828070	0.032558	0.138947	23	False
chr1	79524150	79524270	bb.chr1.79524150	0.075118	0.174392	23	False
chr1	80163411	80163531	bb.chr1.80163411	0.004165	0.221908	23	False
chr1	80801780	80801900	bb.chr1.80801780	-0.037127	0.230149	23	False
chr1	81802410	81802530	bb.chr1.81802410	0.010702	0.083482	23	False
chr1	83490232	83490352	bb.chr1.83490232	-0.000120	0.447008	23	True
chr1	84452453	84452573	bb.chr1.84452453	-0.000185	0.065738	23	False
chr1	85117419	85117539	bb.chr1.85117419	-0.000579	0.100166	23	False
chr1	85814296	85814416	bb.chr1.85814296	-0.105949	0.579762	23	True
chr1	86482004	86482124	bb.chr1.86482004	-0.012895	0.135034	23	False
chr1	87233815	87233935	bb.chr1.87233815	-0.020095	0.094662	23	False
chr1	88505918	88506038	bb.chr1.88505918	-0.161241	0.607684	23	True
chr1	89469482	89469602	bb.chr1.89469482	0.010544	0.256494	23	False
chr1	90482352	90482472	bb.chr1.90482352	-0.006646	0.121598	23	False
chr1	91139874	91139994	bb.chr1.91139874	-0.565697	1.024691	20	True
chr1	91815968	91816088	bb.chr1.91815968	0.028772	0.148959	23	False
chr1	92473041	92473310	GFI1_exon_7	-0.017068	0.074149	23	False
chr1	92473310	92473580	GFI1_exon_7	0.035777	0.076629	23	False
chr1	92473580	92473850	GFI1_exon_7	0.073787	0.049442	23	False
chr1	92473861	92474121	GFI1_exon_7	0.176542	0.054884	23	False
chr1	92474121	92474382	GFI1_exon_7	0.041451	0.087627	23	False
chr1	92474382	92474642	GFI1_exon_7	0.020823	0.066904	23	False
chr1	92474642	92474903	GFI1_exon_7	-0.012713	0.054286	23	False
chr1	92474903	92475163	GFI1_exon_7	0.014996	0.063512	23	False
chr1	92475163	92475424	GFI1_exon_7	-0.011948	0.058804	23	False
chr1	92475424	92475684	GFI1_exon_7	-0.003460	0.054973	23	False
chr1	92475684	92475945	GFI1_exon_7	0.017083	0.049550	23	False
chr1	92475945	92476206	GFI1_exon_7	0.046069	0.063057	23	False
chr1	92478586	92478752	GFI1_exon_6	-0.070090	0.078450	23	False
chr1	92480346	92480484	GFI1_exon_5	0.022101	0.121163	23	False
chr1	92480599	92480719	GFI1_exon_4	-0.025261	0.127375	23	False
chr1	92480722	92480842	GFI1_exon_4	0.032641	0.163795	23	False
chr1	92480845	92480965	GFI1_exon_4	0.040759	0.123186	23	False
chr1	92480967	92481087	GFI1_exon_4	-0.026389	0.056950	23	False
chr1	92482862	92483045	GFI1_exon_3	-0.098614	0.085673	23	False
chr1	92483371	92483585	GFI1_exon_2	0.036494	0.064204	23	False
chr1	92486724	92486924	GFI1_exon_1	-0.008165	0.108025	23	False
chr1	93845078	93845198	bb.chr1.93845078	-0.027362	0.118790	23	False
chr1	95142070	95142190	bb.chr1.95142070	-0.045998	0.140289	23	False
chr1	96144718	96144838	bb.chr1.96144718	-0.016249	0.101405	23	False
chr1	96819223	96819343	bb.chr1.96819223	-0.039220	0.254710	23	False
chr1	97486353	97486473	bb.chr1.97486353	-0.023305	0.274572	23	False
chr1	98149458	98149578	bb.chr1.98149458	-0.035985	0.239768	23	False
chr1	99123808	99123928	bb.chr1.99123808	0.010788	0.184516	23	False
chr1	99811983	99812103	bb.chr1.99811983	-0.031493	0.154988	23	False
chr1	100504730	100504850	bb.chr1.100504730	0.055759	0.109683	23	False
chr1	101155472	101155592	bb.chr1.101155472	-0.040440	0.200278	23	False
chr1	101808332	101808452	bb.chr1.101808332	-0.032336	0.109026	23	False
chr1	102853304	102853424	bb.chr1.102853304	0.002916	0.123163	23	False
chr1	103505642	103505762	bb.chr1.103505642	-0.080973	0.418158	23	True
chr1	104401917	104402037	bb.chr1.104401917	-0.120360	0.595870	23	True
chr1	105095739	105095859	bb.chr1.105095739	-0.038842	0.185569	23	False
chr1	105763500	105763620	bb.chr1.105763500	-0.024543	0.088608	23	False
chr1	107393711	107393831	bb.chr1.107393711	-0.057320	0.148351	23	False
chr1	110049366	110049486	bb.chr1.110049366	-0.010197	0.140716	23	False
chr1	110733894	110734014	bb.chr1.110733894	0.005056	0.111673	23	False
chr1	111720534	111720654	bb.chr1.111720534	-0.017322	0.098051	23	False
chr1	112356054	112356174	bb.chr1.112356054	-0.003890	0.078840	23	False
chr1	113057285	113057405	bb.chr1.113057285	-0.015717	0.110220	23	False
chr1	113829650	113829770	bb.chr1.113829650	0.043986	0.109131	23	False
chr1	114704467	114704762	NRAS_exon_7	0.079194	0.100340	23	False
chr1	114704762	114705057	NRAS_exon_7	0.039784	0.100911	23	False
chr1	114705057	114705352	NRAS_exon_7	-0.023430	0.073110	23	False
chr1	114705352	114705648	NRAS_exon_7	0.026392	0.054936	23	False
chr1	114705790	114706072	NRAS_exon_7	0.028002	0.078784	23	False
chr1	114706072	114706354	NRAS_exon_7	0.048025	0.087013	23	False
chr1	114706354	114706637	NRAS_exon_7	0.051098	0.091485	23	False
chr1	114706637	114706919	NRAS_exon_7	0.009363	0.047527	23	False
chr1	114706919	114707201	NRAS_exon_7	0.005350	0.147098	23	False
chr1	114707201	114707484	NRAS_exon_7	0.015327	0.084589	23	False
chr1	114707484	114707766	NRAS_exon_7	0.015289	0.079976	23	False
chr1	114707766	114708049	NRAS_exon_7	0.128636	0.044776	23	False
chr1	114708152	114708272	NRAS_exon_6	0.013153	0.132884	23	False
chr1	114708531	114708651	NRAS_exon_5	-0.026056	0.061527	23	False
chr1	114709567	114709727	NRAS_exon_4	-0.043372	0.068885	23	False
chr1	114713798	114713977	NRAS_exon_3	-0.125108	0.080498	23	False
chr1	114716052	114716172	NRAS_exon_2	0.018438	0.104997	23	False
chr1	114716653	114716773	NRAS_exon_1	0.089033	0.085369	23	False
chr1	114726530	114726650	bb.chr1.114726530	-0.367120	1.119306	23	True
chr1	115399293	115399413	bb.chr1.115399293	-0.066316	0.072293	23	False
chr1	116397799	116397919	bb.chr1.116397799	-0.034648	0.066313	23	False
chr1	117026708	117026828	bb.chr1.117026708	-0.175863	0.794853	23	True
chr1	117712376	117712496	bb.chr1.117712376	0.006811	0.213962	23	False
chr1	119035154	119035274	bb.chr1.119035154	-0.051554	0.170103	23	False
chr1	119699854	119699974	bb.chr1.119699854	-0.229135	0.821945	23	True
chr1	121548376	121548496	bb.chr1.121548376	-0.000427	0.255048	23	False
chr1	143997796	143997915	bb.chr1.143997796	-0.050563	0.499197	23	True
chr1	145879366	145879486	bb.chr1.145879366	-0.054842	0.113346	23	False
chr1	147078257	147078377	bb.chr1.147078257	0.054505	0.133038	23	False
chr1	147777713	147777833	bb.chr1.147777713	0.063113	0.100226	23	False
chr1	149940160	149940280	bb.chr1.149940160	0.028361	0.101259	23	False
chr1	150563644	150563764	bb.chr1.150563644	-0.005084	0.088231	23	False
chr1	151291246	151291366	bb.chr1.151291246	0.037084	0.080270	23	False
chr1	151980349	151980469	bb.chr1.151980349	-0.022986	0.097569	23	False
chr1	152617651	152617771	bb.chr1.152617651	-0.008220	0.099171	23	False
chr1	153262512	153262632	bb.chr1.153262512	0.015113	0.085308	23	False
chr1	154272976	154273096	bb.chr1.154272976	0.021466	0.095644	23	False
chr1	155288901	155289021	bb.chr1.155288901	-0.014577	0.115377	23	False
chr1	155897806	155898098	RIT1_exon_6	0.087810	0.060267	23	False
chr1	155898098	155898391	RIT1_exon_6	0.016597	0.113006	23	False
chr1	155898524	155898785	RIT1_exon_6	0.001822	0.104733	23	False
chr1	155898785	155899047	RIT1_exon_6	-0.042550	0.138885	23	False
chr1	155899047	155899308	RIT1_exon_6	0.044460	0.061921	23	False
chr1	155899308	155899570	RIT1_exon_6	0.003488	0.056760	23	False
chr1	155899570	155899832	RIT1_exon_6	-0.038243	0.051133	23	False
chr1	155899832	155900093	RIT1_exon_6	-0.014603	0.073217	23	False
chr1	155900093	155900355	RIT1_exon_6	-0.011673	0.072792	23	False
chr1	155900355	155900617	RIT1_exon_6	0.053647	0.076862	23	False
chr1	155904309	155904501	RIT1_exon_5	-0.129578	0.067776	23	False
chr1	155904728	155904848	RIT1_exon_4	0.025770	0.065241	23	False
chr1	155910432	155910552	RIT1_exon_3	0.033644	0.068488	23	False
chr1	155910654	155910803	RIT1_exon_2	0.067220	0.062746	23	False
chr1	155911234	155911354	RIT1_exon_1	0.015889	0.151519	23	False
chr1	156246048	156246168	bb.chr1.156246048	-0.020045	0.184252	23	False
chr1	157587851	157587971	bb.chr1.157587851	-0.235681	0.994123	23	True
chr1	158196981	158197101	bb.chr1.158196981	-0.107580	0.607017	23	True
chr1	158849474	158849594	bb.chr1.158849474	-0.014036	0.180136	23	False
chr1	159683089	159683209	bb.chr1.159683089	-0.038267	0.134863	23	False
chr1	160295665	160295785	bb.chr1.160295665	0.063847	0.124686	23	False
chr1	161269293	161269413	bb.chr1.161269293	-0.015925	0.161753	23	False
chr1	161993757	161993877	bb.chr1.161993757	-0.073298	0.108652	23	False
chr1	162622852	162622972	bb.chr1.162622852	-0.007060	0.097110	23	False
chr1	163319721	163319841	bb.chr1.163319721	-0.021509	0.192384	23	False
chr1	163940959	163941079	bb.chr1.163940959	-0.152859	0.883174	23	True
chr1	164935276	164935396	bb.chr1.164935276	0.004442	0.103454	23	False
chr1	165998123	165998243	bb.chr1.165998123	0.019181	0.097239	23	False
chr1	166930510	166930630	bb.chr1.166930510	-0.026362	0.256817	23	False
chr1	167600433	167600553	bb.chr1.167600433	0.003603	0.115959	23	False
chr1	168261033	168261153	bb.chr1.168261033	0.041764	0.182887	23	False
chr1	169124100	169124220	bb.chr1.169124100	0.031550	0.105633	23	False
chr1	170262398	170262518	bb.chr1.170262398	-0.011581	0.118598	23	False
chr1	171249756	171249876	bb.chr1.171249756	0.040383	0.116525	23	False
chr1	172638749	172638869	bb.chr1.172638749	-0.021820	0.097712	23	False
chr1	173254664	173254784	bb.chr1.173254664	-0.022569	0.169868	23	False
chr1	173863574	173863694	bb.chr1.173863574	-0.033009	0.089290	23	False
chr1	175624885	175625005	bb.chr1.175624885	-0.005551	0.081728	23	False
chr1	176442425	176442545	bb.chr1.176442425	-0.030435	0.106308	23	False
chr1	177267192	177267312	bb.chr1.177267192	-0.033450	0.082578	23	False
chr1	178621199	178621319	bb.chr1.178621199	-0.025641	0.093018	23	False
chr1	180927734	180927854	bb.chr1.180927734	-0.029348	0.115154	23	False
chr1	181580351	181580471	bb.chr1.181580351	0.011301	0.078309	23	False
chr1	182611962	182612082	bb.chr1.182611962	0.003482	0.109503	23	False
chr1	183609659	183609779	bb.chr1.183609659	-0.028641	0.126166	23	False
chr1	184555617	184555737	bb.chr1.184555617	-0.009294	0.161145	23	False
chr1	185250488	185250608	bb.chr1.185250488	0.017968	0.081812	23	False
chr1	187307287	187307407	bb.chr1.187307287	-0.004133	0.124270	23	False
chr1	188250703	188250823	bb.chr1.188250703	-0.103196	0.493146	23	True
chr1	188974535	188974655	bb.chr1.188974535	-0.914625	1.603199	10	True
chr1	190097656	190097902	BRINP3_exon_8	0.003965	0.139259	23	False
chr1	190097902	190098148	BRINP3_exon_8	0.037511	0.057685	23	False
chr1	190098148	190098394	BRINP3_exon_8	-0.055762	0.073792	23	False
chr1	190098394	190098640	BRINP3_exon_8	0.055433	0.074817	23	False
chr1	190098640	190098886	BRINP3_exon_8	0.025992	0.106690	23	False
chr1	190098886	190099133	BRINP3_exon_8	0.010578	0.083600	23	False
chr1	190160666	190160889	BRINP3_exon_7	0.080013	0.060536	23	False
chr1	190215034	190215154	bb.chr1.190215034	-0.065308	0.739340	23	True
chr1	190226080	190226317	BRINP3_exon_6	0.044537	0.094066	23	False
chr1	190234363	190234483	BRINP3_exon_5	0.128030	0.054349	23	False
chr1	190264863	190265054	BRINP3_exon_4	-0.145198	0.058155	23	False
chr1	190281558	190281749	BRINP3_exon_3	-0.135508	0.065558	23	False
chr1	190454653	190454939	BRINP3_exon_2	0.016897	0.078841	23	False
chr1	190477446	190477654	BRINP3_exon_1	0.028645	0.060192	23	False
chr1	190477654	190477863	BRINP3_exon_1	0.053013	0.046915	23	False
chr1	191593967	191594087	bb.chr1.191593967	-0.646700	1.703181	16	True
chr1	193469585	193469705	bb.chr1.193469585	-0.055122	0.122159	23	False
chr1	194513114	194513234	bb.chr1.194513114	-0.056260	0.064543	23	False
chr1	195248961	195249081	bb.chr1.195248961	-0.203557	0.786908	23	True
chr1	196713156	196713276	bb.chr1.196713156	-0.033950	0.389642	23	True
chr1	198126443	198126563	bb.chr1.198126443	0.009995	0.137393	23	False
chr1	200233043	200233163	bb.chr1.200233043	0.042587	0.113422	23	False
chr1	201253794	201253914	bb.chr1.201253794	0.012220	0.099801	23	False
chr1	202208947	202209067	bb.chr1.202208947	-0.001392	0.124064	23	False
chr1	202331655	202331959	UBE2T_exon_7	-0.028083	0.070273	23	False
chr1	202332986	202333106	UBE2T_exon_6	-0.026315	0.124878	23	False
chr1	202333217	202333337	UBE2T_exon_5	-0.000621	0.071549	23	False
chr1	202333441	202333561	UBE2T_exon_4	0.018108	0.070018	23	False
chr1	202334948	202335068	UBE2T_exon_3	-0.015982	0.058687	23	False
chr1	202335644	202335817	UBE2T_exon_2	-0.107002	0.060326	23	False
chr1	202341827	202341947	UBE2T_exon_1	-0.023431	0.078069	23	False
chr1	203601619	203601739	bb.chr1.203601619	-0.042047	0.090354	23	False
chr1	204244424	204244544	bb.chr1.204244424	0.011082	0.070867	23	False
chr1	204915648	204915768	bb.chr1.204915648	-0.014763	0.247896	23	False
chr1	206224328	206224448	bb.chr1.206224328	0.002126	0.110503	23	False
chr1	206705717	206705837	bb.chr1.206705717	-0.052173	0.093159	23	False
chr1	207375221	207375341	bb.chr1.207375221	-0.002870	0.097320	23	False
chr1	208065771	208065891	bb.chr1.208065771	-0.028251	0.093967	23	False
chr1	209035760	209035880	bb.chr1.209035760	-0.017383	0.085107	23	False
chr1	209659942	209660062	bb.chr1.209659942	-0.026200	0.151644	23	False
chr1	210381583	210381703	bb.chr1.210381583	-0.035378	0.166694	23	False
chr1	211371942	211372062	bb.chr1.211371942	-0.056851	0.152595	23	False
chr1	212365940	212366060	bb.chr1.212365940	0.022548	0.120966	23	False
chr1	213036899	213037019	bb.chr1.213036899	-0.025213	0.174430	23	False
chr1	213982762	213982882	bb.chr1.213982762	-0.017923	0.171181	23	False
chr1	215301503	215301623	bb.chr1.215301503	-0.030293	0.072665	23	False
chr1	216500914	216501034	bb.chr1.216500914	-0.065358	0.125694	23	False
chr1	217798578	217798698	bb.chr1.217798578	-0.000379	0.093874	23	False
chr1	218685332	218685452	bb.chr1.218685332	0.122758	0.168832	23	False
chr1	219385055	219385175	bb.chr1.219385055	-0.043722	0.155899	23	False
chr1	219991760	219991880	bb.chr1.219991760	-0.036006	0.237325	23	False
