@HD	VN:1.6
@SQ	SN:chr1	LN:248956422
@SQ	SN:chr2	LN:242193529
@SQ	SN:chr3	LN:198295559
@SQ	SN:chr4	LN:190214555
@SQ	SN:chr5	LN:181538259
@SQ	SN:chr6	LN:170805979
@SQ	SN:chr7	LN:159345973
@SQ	SN:chr8	LN:145138636
@SQ	SN:chr9	LN:138394717
@SQ	SN:chr10	LN:133797422
@SQ	SN:chr11	LN:135086622
@SQ	SN:chr12	LN:133275309
@SQ	SN:chr13	LN:114364328
@SQ	SN:chr14	LN:107043718
@SQ	SN:chr15	LN:101991189
@SQ	SN:chr16	LN:90338345
@SQ	SN:chr17	LN:83257441
@SQ	SN:chr18	LN:80373285
@SQ	SN:chr19	LN:58617616
@SQ	SN:chr20	LN:64444167
@SQ	SN:chr21	LN:46709983
@SQ	SN:chr22	LN:50818468
@SQ	SN:chrX	LN:156040895
@SQ	SN:chrY	LN:57227415
Target	gc_bias	mappability	reptiming	Gene	on_target
chr1:26729650-26729862	0.619718309859155	NA	NA	ARID1A	TRUE
chr1:26731151-26731376	0.584070796460177	NA	NA	ARID1A	TRUE
chr1:26731377-26731603	0.643171806167401	NA	NA	ARID1A	TRUE
chr1:26732673-26732792	0.516666666666667	NA	NA	ARID1A	TRUE
chr1:26760855-26760974	0.533333333333333	NA	NA	ARID1A	TRUE
chr1:26760976-26761095	0.641666666666667	NA	NA	ARID1A	TRUE
chr1:26761354-26761473	0.525	NA	NA	ARID1A	TRUE
chr1:26762151-26762318	0.607142857142857	NA	NA	ARID1A	TRUE
chr1:26762972-26763284	0.575079872204473	NA	NA	ARID1A	TRUE
chr1:26766220-26766365	0.527397260273973	NA	NA	ARID1A	TRUE
chr1:26766451-26766570	0.5	NA	NA	ARID1A	TRUE
chr1:26767789-26767998	0.5	NA	NA	ARID1A	TRUE
chr1:26771118-26771325	0.504807692307692	NA	NA	ARID1A	TRUE
chr1:26772499-26772631	0.578947368421053	NA	NA	ARID1A	TRUE
chr1:26772811-26772986	0.482954545454545	NA	NA	ARID1A	TRUE
chr1:26773345-26773495	0.615894039735099	NA	NA	ARID1A	TRUE
chr1:26773579-26773716	0.623188405797101	NA	NA	ARID1A	TRUE
chr1:26773784-26773903	0.516666666666667	NA	NA	ARID1A	TRUE
chr1:26774328-26774624	0.609427609427609	NA	NA	ARID1A	TRUE
chr1:26774625-26774921	0.602693602693603	NA	NA	ARID1A	TRUE
chr1:26774922-26775219	0.580536912751678	NA	NA	ARID1A	TRUE
chr1:26775581-26775700	0.516666666666667	NA	NA	ARID1A	TRUE
chr1:26779022-26779374	0.46742209631728	NA	NA	ARID1A	TRUE
chr1:26779375-26779728	0.570621468926554	NA	NA	ARID1A	TRUE
chr1:26779729-26780082	0.550847457627119	NA	NA	ARID1A	TRUE
chr1:26780083-26780436	0.590395480225989	NA	NA	ARID1A	TRUE
chr1:26780437-26780790	0.570621468926554	NA	NA	ARID1A	TRUE
chr1:26780791-26781144	0.446327683615819	NA	NA	ARID1A	TRUE
chr1:26781145-26781498	0.364406779661017	NA	NA	ARID1A	TRUE
chr1:26781499-26781852	0.449152542372881	NA	NA	ARID1A	TRUE
chr1:26781873-26782103	0.281385281385281	NA	NA	ARID1A	TRUE
chr1:27885080-27885199	0.45	NA	NA	THEMIS2	TRUE
chr1:29118943-29119062	0.491666666666667	NA	NA	EPB41	TRUE
chr1:29811184-29811303	0.458333333333333	NA	NA	.	TRUE
chr1:30515624-30515743	0.383333333333333	NA	NA	.	TRUE
chr1:31236308-31236427	0.375	NA	NA	NKAIN1	TRUE
chr1:31848640-31848759	0.566666666666667	NA	NA	.	TRUE
chr1:32733707-32733826	0.55	NA	NA	.	TRUE
chr1:33848751-33848870	0.341666666666667	NA	NA	CSMD2	TRUE
chr1:34523294-34523413	0.483333333333333	NA	NA	.	TRUE
chr1:36150677-36150796	0.583333333333333	NA	NA	TRAPPC3	TRUE
chr1:36466042-36466433	0.533163265306122	NA	NA	CSF3R	TRUE
chr1:36466434-36466826	0.636132315521629	NA	NA	CSF3R	TRUE
chr1:36467201-36467320	0.591666666666667	NA	NA	CSF3R	TRUE
chr1:36467532-36467651	0.591666666666667	NA	NA	CSF3R	TRUE
chr1:36467821-36467961	0.624113475177305	NA	NA	CSF3R	TRUE
chr1:36468074-36468220	0.598639455782313	NA	NA	CSF3R	TRUE
chr1:36469146-36469265	0.5	NA	NA	CSF3R	TRUE
chr1:36469651-36469839	0.62962962962963	NA	NA	CSF3R	TRUE
chr1:36471432-36471645	0.61214953271028	NA	NA	CSF3R	TRUE
chr1:36472041-36472160	0.6	NA	NA	CSF3R	TRUE
chr1:36472237-36472390	0.681818181818182	NA	NA	CSF3R	TRUE
chr1:36472516-36472685	0.658823529411765	NA	NA	CSF3R	TRUE
chr1:36473434-36473621	0.595744680851064	NA	NA	CSF3R	TRUE
chr1:36473765-36473884	0.575	NA	NA	CSF3R	TRUE
chr1:36475376-36475672	0.616161616161616	NA	NA	CSF3R	TRUE
chr1:36479425-36479544	0.533333333333333	NA	NA	CSF3R	TRUE
chr1:36481418-36481537	0.525	NA	NA	CSF3R	TRUE
chr1:36482803-36482922	0.566666666666667	NA	NA	CSF3R	TRUE
chr1:37047843-37047962	0.566666666666667	NA	NA	.	TRUE
chr1:37762526-37762645	0.408333333333333	NA	NA	EPHA10	TRUE
chr1:38495306-38495425	0.491666666666667	NA	NA	LINC01685	TRUE
chr1:39453503-39453622	0.366666666666667	NA	NA	MACF1	TRUE
chr1:40075418-40075537	0.35	NA	NA	PPT1	TRUE
chr1:40987722-40987841	0.441666666666667	NA	NA	CTPS1	TRUE
chr1:41865449-41865568	0.516666666666667	NA	NA	HIVEP3	TRUE
chr1:42843653-42843772	0.466666666666667	NA	NA	ERMAP	TRUE
chr1:43337812-43337931	0.625	NA	NA	MPL	TRUE
chr1:43338098-43338230	0.56390977443609	NA	NA	MPL	TRUE
chr1:43338541-43338719	0.564245810055866	NA	NA	MPL	TRUE
chr1:43339270-43339568	0.588628762541806	NA	NA	MPL	TRUE
chr1:43339963-43340125	0.625766871165644	NA	NA	MPL	TRUE
chr1:43340389-43340508	0.541666666666667	NA	NA	MPL	TRUE
chr1:43346444-43346628	0.535135135135135	NA	NA	MPL	TRUE
chr1:43346791-43346933	0.58041958041958	NA	NA	MPL	TRUE
chr1:43348842-43349001	0.7	NA	NA	MPL	TRUE
chr1:43349243-43349362	0.591666666666667	NA	NA	MPL	TRUE
chr1:43352196-43352315	0.616666666666667	NA	NA	MPL	TRUE
chr1:43352517-43352912	0.568181818181818	NA	NA	MPL	TRUE
chr1:43352913-43353308	0.421717171717172	NA	NA	MPL	TRUE
chr1:43353894-43354179	0.367132867132867	NA	NA	MPL	TRUE
chr1:43354180-43354465	0.384615384615385	NA	NA	MPL	TRUE
chr1:43787285-43787404	0.375	NA	NA	ST3GAL3	TRUE
chr1:44540269-44540388	0.383333333333333	NA	NA	RNF220	TRUE
chr1:45508197-45508316	0.591666666666667	NA	NA	MMACHC	TRUE
chr1:46163922-46164041	0.591666666666667	NA	NA	PIK3R3	TRUE
chr1:47180264-47180383	0.441666666666667	NA	NA	LINC00853	TRUE
chr1:47852958-47853077	0.575	NA	NA	TRABD2B	TRUE
chr1:48531148-48531267	0.408333333333333	NA	NA	.	TRUE
chr1:50178905-50179024	0.4	NA	NA	ELAVL4	TRUE
chr1:52785184-52785303	0.4	NA	NA	ZYG11B	TRUE
chr1:53538016-53538135	0.675	NA	NA	GLIS1	TRUE
chr1:54190919-54191038	0.566666666666667	NA	NA	CYB5RL	TRUE
chr1:55206598-55206717	0.366666666666667	NA	NA	USP24	TRUE
chr1:55826230-55826349	0.408333333333333	NA	NA	.	TRUE
chr1:56496025-56496144	0.391666666666667	NA	NA	PLPP3	TRUE
chr1:57205931-57206050	0.275	NA	NA	DAB1	TRUE
chr1:57829033-57829152	0.391666666666667	NA	NA	DAB1	TRUE
chr1:58460465-58460584	0.4	NA	NA	DAB1	TRUE
chr1:59485974-59486093	0.433333333333333	NA	NA	FGGY	TRUE
chr1:60476633-60476752	0.316666666666667	NA	NA	.	TRUE
chr1:61810167-61810286	0.45	NA	NA	PATJ	TRUE
chr1:62840502-62840621	0.316666666666667	NA	NA	.	TRUE
chr1:63652513-63652632	0.441666666666667	NA	NA	PGM1	TRUE
chr1:64437753-64437872	0.316666666666667	NA	NA	.	TRUE
chr1:65197239-65197358	0.308333333333333	NA	NA	AK4	TRUE
chr1:66153836-66153955	0.425	NA	NA	PDE4B	TRUE
chr1:66826736-66826855	0.375	NA	NA	DNAI4	TRUE
chr1:67833549-67833668	0.683333333333333	NA	NA	.	TRUE
chr1:68435115-68435234	0.425	NA	NA	RPE65	TRUE
chr1:69148840-69148959	0.375	NA	NA	LINC01707	TRUE
chr1:70130793-70130912	0.425	NA	NA	LRRC7	TRUE
chr1:70790765-70790884	0.425	NA	NA	.	TRUE
chr1:71491518-71491637	0.408333333333333	NA	NA	NEGR1	TRUE
chr1:72125123-72125242	0.275	NA	NA	NEGR1	TRUE
chr1:73891357-73891476	0.4	NA	NA	.	TRUE
chr1:74561649-74561768	0.533333333333333	NA	NA	.	TRUE
chr1:75552567-75552686	0.333333333333333	NA	NA	SLC44A5	TRUE
chr1:76318892-76319011	0.4	NA	NA	ST6GALNAC3	TRUE
chr1:77082087-77082206	0.483333333333333	NA	NA	.	TRUE
chr1:78068142-78068261	0.341666666666667	NA	NA	GIPC2	TRUE
chr1:78828071-78828190	0.416666666666667	NA	NA	.	TRUE
chr1:79524151-79524270	0.358333333333333	NA	NA	.	TRUE
chr1:80163412-80163531	0.366666666666667	NA	NA	.	TRUE
chr1:80801781-80801900	0.35	NA	NA	.	TRUE
chr1:81802411-81802530	0.591666666666667	NA	NA	ADGRL2	TRUE
chr1:83490233-83490352	0.35	NA	NA	.	TRUE
chr1:84452454-84452573	0.508333333333333	NA	NA	.	TRUE
chr1:85117420-85117539	0.383333333333333	NA	NA	DNAI3	TRUE
chr1:85814297-85814416	0.325	NA	NA	COL24A1	TRUE
chr1:86482005-86482124	0.391666666666667	NA	NA	CLCA1	TRUE
chr1:87233816-87233935	0.483333333333333	NA	NA	.	TRUE
chr1:88505919-88506038	0.316666666666667	NA	NA	.	TRUE
chr1:89469483-89469602	0.333333333333333	NA	NA	.	TRUE
chr1:90482353-90482472	0.383333333333333	NA	NA	.	TRUE
chr1:91139875-91139994	0.308333333333333	NA	NA	.	TRUE
chr1:91815969-91816088	0.416666666666667	NA	NA	TGFBR3	TRUE
chr1:92473042-92473310	0.327137546468401	NA	NA	GFI1	TRUE
chr1:92473311-92473580	0.4	NA	NA	GFI1	TRUE
chr1:92473581-92473850	0.459259259259259	NA	NA	GFI1	TRUE
chr1:92473862-92474251	0.430769230769231	NA	NA	GFI1	TRUE
chr1:92474252-92474642	0.416879795396419	NA	NA	GFI1	TRUE
chr1:92474643-92475033	0.363171355498721	NA	NA	GFI1	TRUE
chr1:92475034-92475424	0.470588235294118	NA	NA	GFI1	TRUE
chr1:92475425-92475815	0.432225063938619	NA	NA	GFI1	TRUE
chr1:92475816-92476206	0.588235294117647	NA	NA	GFI1	TRUE
chr1:92478587-92478752	0.506024096385542	NA	NA	GFI1	TRUE
chr1:92480347-92480484	0.666666666666667	NA	NA	GFI1	TRUE
chr1:92480600-92480719	0.683333333333333	NA	NA	GFI1	TRUE
chr1:92480723-92480842	0.733333333333333	NA	NA	GFI1	TRUE
chr1:92480846-92480965	0.816666666666667	NA	NA	GFI1	TRUE
chr1:92480968-92481087	0.633333333333333	NA	NA	GFI1	TRUE
chr1:92482863-92483045	0.666666666666667	NA	NA	GFI1	TRUE
chr1:92483372-92483585	0.635514018691589	NA	NA	GFI1	TRUE
chr1:92486725-92486924	0.69	NA	NA	GFI1	TRUE
chr1:93845079-93845198	0.383333333333333	NA	NA	BCAR3	TRUE
chr1:95142071-95142190	0.333333333333333	NA	NA	TLCD4-RWDD3	TRUE
chr1:96144719-96144838	0.433333333333333	NA	NA	.	TRUE
chr1:96819224-96819343	0.391666666666667	NA	NA	PTBP2	TRUE
chr1:97486354-97486473	0.333333333333333	NA	NA	DPYD	TRUE
chr1:98149459-98149578	0.341666666666667	NA	NA	.	TRUE
chr1:99123809-99123928	0.408333333333333	NA	NA	PLPPR5	TRUE
chr1:99811984-99812103	0.375	NA	NA	.	TRUE
chr1:100504731-100504850	0.433333333333333	NA	NA	CDC14A	TRUE
chr1:101155473-101155592	0.408333333333333	NA	NA	.	TRUE
chr1:101808333-101808452	0.433333333333333	NA	NA	OLFM3	TRUE
chr1:102853305-102853424	0.35	NA	NA	.	TRUE
chr1:103505643-103505762	0.291666666666667	NA	NA	RNPC3-DT	TRUE
chr1:104401918-104402037	0.366666666666667	NA	NA	.	TRUE
chr1:105095740-105095859	0.341666666666667	NA	NA	.	TRUE
chr1:105763501-105763620	0.408333333333333	NA	NA	.	TRUE
chr1:106677660-106677779	0.283333333333333	NA	NA	.	TRUE
chr1:107393712-107393831	0.391666666666667	NA	NA	NTNG1	TRUE
chr1:108336397-108336516	0.266666666666667	NA	NA	.	TRUE
chr1:110049367-110049486	0.508333333333333	NA	NA	STRIP1	TRUE
chr1:110733895-110734014	0.466666666666667	NA	NA	.	TRUE
chr1:111720535-111720654	0.566666666666667	NA	NA	.	TRUE
chr1:112356055-112356174	0.466666666666667	NA	NA	LINC02884	TRUE
chr1:113057286-113057405	0.408333333333333	NA	NA	.	TRUE
chr1:113829651-113829770	0.35	NA	NA	PTPN22	TRUE
chr1:114704468-114704860	0.310432569974555	NA	NA	NRAS	TRUE
chr1:114704861-114705254	0.32994923857868	NA	NA	NRAS	TRUE
chr1:114705255-114705648	0.33756345177665	NA	NA	NRAS	TRUE
chr1:114705791-114706166	0.36436170212766	NA	NA	NRAS	TRUE
chr1:114706167-114706543	0.302387267904509	NA	NA	NRAS	TRUE
chr1:114706544-114706919	0.414893617021277	NA	NA	NRAS	TRUE
chr1:114706920-114707296	0.29973474801061	NA	NA	NRAS	TRUE
chr1:114707297-114707672	0.324468085106383	NA	NA	NRAS	TRUE
chr1:114707673-114708049	0.437665782493369	NA	NA	NRAS	TRUE
chr1:114708153-114708272	0.35	NA	NA	NRAS	TRUE
chr1:114708532-114708651	0.425	NA	NA	NRAS	TRUE
chr1:114709568-114709727	0.4625	NA	NA	NRAS	TRUE
chr1:114713799-114713977	0.418994413407821	NA	NA	NRAS	TRUE
chr1:114716053-114716172	0.466666666666667	NA	NA	NRAS	TRUE
chr1:114716654-114716773	0.6	NA	NA	NRAS	TRUE
chr1:114726531-114726650	0.316666666666667	NA	NA	CSDE1	TRUE
chr1:115399294-115399413	0.416666666666667	NA	NA	.	TRUE
chr1:116397800-116397919	0.45	NA	NA	ATP1A1	TRUE
chr1:117026709-117026828	0.325	NA	NA	CD101	TRUE
chr1:117712377-117712496	0.383333333333333	NA	NA	.	TRUE
chr1:119035155-119035274	0.35	NA	NA	WARS2	TRUE
chr1:119699855-119699974	0.341666666666667	NA	NA	PHGDH	TRUE
chr1:121548377-121548496	0.35	NA	NA	EMBP1	TRUE
chr1:143997797-143997915	0.352941176470588	NA	NA	SRGAP2D	TRUE
chr1:145879367-145879486	0.483333333333333	NA	NA	ANKRD35	TRUE
chr1:147078258-147078377	0.658333333333333	NA	NA	.	TRUE
chr1:147777714-147777833	0.516666666666667	NA	NA	.	TRUE
chr1:149940161-149940280	0.425	NA	NA	OTUD7B	TRUE
chr1:150563645-150563764	0.475	NA	NA	.	TRUE
chr1:151291247-151291366	0.425	NA	NA	ZNF687	TRUE
chr1:151980350-151980469	0.433333333333333	NA	NA	.	TRUE
chr1:152617652-152617771	0.441666666666667	NA	NA	.	TRUE
chr1:153262513-153262632	0.5	NA	NA	.	TRUE
chr1:154272977-154273096	0.608333333333333	NA	NA	HAX1	TRUE
chr1:155288902-155289021	0.558333333333333	NA	NA	HCN3	TRUE
chr1:155897807-155898098	0.35958904109589	NA	NA	RIT1	TRUE
chr1:155898099-155898391	0.324232081911263	NA	NA	RIT1	TRUE
chr1:155898525-155898872	0.313218390804598	NA	NA	RIT1	TRUE
chr1:155898873-155899221	0.355300859598854	NA	NA	RIT1	TRUE
chr1:155899222-155899570	0.418338108882521	NA	NA	RIT1	TRUE
chr1:155899571-155899919	0.386819484240688	NA	NA	RIT1	TRUE
chr1:155899920-155900268	0.35243553008596	NA	NA	RIT1	TRUE
chr1:155900269-155900617	0.438395415472779	NA	NA	RIT1	TRUE
chr1:155904310-155904501	0.458333333333333	NA	NA	RIT1	TRUE
chr1:155904729-155904848	0.433333333333333	NA	NA	RIT1	TRUE
chr1:155910433-155910552	0.45	NA	NA	RIT1	TRUE
chr1:155910655-155910803	0.590604026845638	NA	NA	RIT1	TRUE
chr1:155911235-155911354	0.641666666666667	NA	NA	RIT1	TRUE
chr1:156246049-156246168	0.683333333333333	NA	NA	PAQR6	TRUE
chr1:157587852-157587971	0.308333333333333	NA	NA	FCRL4	TRUE
chr1:158196982-158197101	0.325	NA	NA	.	TRUE
chr1:158849475-158849594	0.333333333333333	NA	NA	MNDA	TRUE
chr1:159683090-159683209	0.458333333333333	NA	NA	.	TRUE
chr1:160295666-160295785	0.366666666666667	NA	NA	COPA	TRUE
chr1:161269294-161269413	0.375	NA	NA	PCP4L1	TRUE
chr1:161993758-161993877	0.608333333333333	NA	NA	OLFML2B	TRUE
chr1:162622853-162622972	0.408333333333333	NA	NA	.	TRUE
chr1:163319722-163319841	0.375	NA	NA	RGS5	TRUE
chr1:163940960-163941079	0.35	NA	NA	.	TRUE
chr1:164935277-164935396	0.4	NA	NA	.	TRUE
chr1:165998124-165998243	0.458333333333333	NA	NA	.	TRUE
chr1:166930511-166930630	0.333333333333333	NA	NA	ILDR2	TRUE
chr1:167600434-167600553	0.441666666666667	NA	NA	.	TRUE
chr1:168261034-168261153	0.491666666666667	NA	NA	.	TRUE
chr1:169124101-169124220	0.45	NA	NA	ATP1B1	TRUE
chr1:170262399-170262518	0.375	NA	NA	LINC01681	TRUE
chr1:171249757-171249876	0.416666666666667	NA	NA	FMO1	TRUE
chr1:172638750-172638869	0.391666666666667	NA	NA	.	TRUE
chr1:173254665-173254784	0.366666666666667	NA	NA	TNFSF4	TRUE
chr1:173863575-173863694	0.375	NA	NA	.	TRUE
chr1:175624886-175625005	0.55	NA	NA	TNR	TRUE
chr1:176442426-176442545	0.475	NA	NA	COP1-DT	TRUE
chr1:177267193-177267312	0.383333333333333	NA	NA	BRINP2	TRUE
chr1:178621200-178621319	0.45	NA	NA	.	TRUE
chr1:179553027-179553146	0.291666666666667	NA	NA	NPHS2	TRUE
chr1:180927735-180927854	0.508333333333333	NA	NA	KIAA1614	TRUE
chr1:181580352-181580471	0.541666666666667	NA	NA	CACNA1E	TRUE
chr1:182611963-182612082	0.525	NA	NA	.	TRUE
chr1:183609660-183609779	0.341666666666667	NA	NA	.	TRUE
chr1:184555618-184555737	0.541666666666667	NA	NA	C1orf21	TRUE
chr1:185250489-185250608	0.466666666666667	NA	NA	SWT1	TRUE
chr1:187307288-187307407	0.425	NA	NA	LINC01037	TRUE
chr1:188250704-188250823	0.3	NA	NA	.	TRUE
chr1:188974536-188974655	0.308333333333333	NA	NA	LINC01035	TRUE
chr1:190097657-190098025	0.300813008130081	NA	NA	BRINP3	TRUE
chr1:190098026-190098394	0.449864498644986	NA	NA	BRINP3	TRUE
chr1:190098395-190098763	0.463414634146341	NA	NA	BRINP3	TRUE
chr1:190098764-190099133	0.545945945945946	NA	NA	BRINP3	TRUE
chr1:190160667-190160889	0.381165919282511	NA	NA	BRINP3	TRUE
chr1:190215035-190215154	0.291666666666667	NA	NA	BRINP3	TRUE
chr1:190226081-190226317	0.443037974683544	NA	NA	BRINP3	TRUE
chr1:190234364-190234483	0.45	NA	NA	BRINP3	TRUE
chr1:190264864-190265054	0.481675392670157	NA	NA	BRINP3	TRUE
chr1:190281559-190281749	0.455497382198953	NA	NA	BRINP3	TRUE
chr1:190454654-190454939	0.496503496503497	NA	NA	BRINP3	TRUE
chr1:190477447-190477654	0.413461538461538	NA	NA	BRINP3	TRUE
chr1:190477655-190477863	0.454545454545455	NA	NA	BRINP3	TRUE
chr1:190893888-190894007	0.233333333333333	NA	NA	.	TRUE
chr1:191593968-191594087	0.308333333333333	NA	NA	.	TRUE
chr1:192592356-192592475	0.266666666666667	NA	NA	.	TRUE
chr1:193469586-193469705	0.333333333333333	NA	NA	.	TRUE
chr1:194513115-194513234	0.458333333333333	NA	NA	.	TRUE
chr1:195248962-195249081	0.3	NA	NA	.	TRUE
chr1:196713157-196713276	0.325	NA	NA	CFH	TRUE
chr1:198126444-198126563	0.35	NA	NA	.	TRUE
chr1:199244171-199244290	0.325	NA	NA	LINC02789	TRUE
chr1:200233044-200233163	0.391666666666667	NA	NA	.	TRUE
chr1:201253795-201253914	0.583333333333333	NA	NA	.	TRUE
chr1:202208948-202209067	0.55	NA	NA	LGR6	TRUE
chr1:202331656-202331959	0.338815789473684	NA	NA	UBE2T	TRUE
chr1:202332987-202333106	0.383333333333333	NA	NA	UBE2T	TRUE
chr1:202333218-202333337	0.5	NA	NA	UBE2T	TRUE
chr1:202333442-202333561	0.408333333333333	NA	NA	UBE2T	TRUE
chr1:202334949-202335068	0.375	NA	NA	UBE2T	TRUE
chr1:202335645-202335817	0.531791907514451	NA	NA	UBE2T	TRUE
chr1:202341828-202341947	0.558333333333333	NA	NA	UBE2T	TRUE
chr1:203601620-203601739	0.408333333333333	NA	NA	.	TRUE
chr1:204244425-204244544	0.541666666666667	NA	NA	PLEKHA6	TRUE
chr1:204915649-204915768	0.416666666666667	NA	NA	NFASC	TRUE
chr1:206224329-206224448	0.358333333333333	NA	NA	SRGAP2	TRUE
chr1:206705718-206705837	0.433333333333333	NA	NA	MAPKAPK2	TRUE
chr1:207375222-207375341	0.35	NA	NA	CD55	TRUE
chr1:208065772-208065891	0.475	NA	NA	PLXNA2	TRUE
chr1:209035761-209035880	0.383333333333333	NA	NA	.	TRUE
chr1:209659943-209660062	0.375	NA	NA	.	TRUE
chr1:210381584-210381703	0.358333333333333	NA	NA	HHAT	TRUE
chr1:211371943-211372062	0.366666666666667	NA	NA	TRAF5	TRUE
chr1:212365941-212366060	0.475	NA	NA	PACC1	TRUE
chr1:213036900-213037019	0.366666666666667	NA	NA	.	TRUE
chr1:213982763-213982882	0.766666666666667	NA	NA	.	TRUE
chr1:215301504-215301623	0.433333333333333	NA	NA	.	TRUE
chr1:216500915-216501034	0.375	NA	NA	.	TRUE
chr1:217798579-217798698	0.466666666666667	NA	NA	SPATA17	TRUE
chr1:218685333-218685452	0.433333333333333	NA	NA	.	TRUE
chr1:219385056-219385175	0.408333333333333	NA	NA	.	TRUE
chr1:219991761-219991880	0.358333333333333	NA	NA	EPRS1	TRUE
chr1:221030662-221030781	0.366666666666667	NA	NA	.	TRUE
chr1:221692917-221693036	0.383333333333333	NA	NA	.	TRUE
chr1:222742748-222742867	0.333333333333333	NA	NA	FAM177B	TRUE
chr1:223344745-223344864	0.5	NA	NA	SUSD4	TRUE
chr1:224175609-224175728	0.475	NA	NA	.	TRUE
chr1:225689948-225690067	0.341666666666667	NA	NA	.	TRUE
chr1:226484257-226484376	0.625	NA	NA	.	TRUE
chr1:228348797-228348916	0.433333333333333	NA	NA	OBSCN	TRUE
