chrom	start	end	name	gene	n_probes	span_bp	covered_bp	span_ratio
chr1	202333441	202333561	UBE2T_exon_4	UBE2T	1	120	120	1.0
chr1	202334948	202335068	UBE2T_exon_3	UBE2T	1	120	120	1.0
chr1	202335644	202335817	UBE2T_exon_2	UBE2T	2	173	240	0.72
chr1	202341827	202341947	UBE2T_exon_1	UBE2T	1	120	120	1.0
chr1	231363754	231366474	EGLN1_exon_5	EGLN1	21	2720	2520	1.08
chr1	231367517	231367637	EGLN1_exon_4	EGLN1	1	120	120	1.0
chr1	231370560	231370697	EGLN1_exon_3	EGLN1	2	137	240	0.57
chr1	231373978	231374098	EGLN1_exon_2	EGLN1	1	120	120	1.0
chr1	231420996	231422286	EGLN1_exon_1	EGLN1	11	1290	1320	0.98
chr2	15940548	15940742	MYCN_exon_1	MYCN	2	194	240	0.81
chr2	15941946	15942853	MYCN_exon_2	MYCN	8	907	960	0.94
chr2	15945491	15947003	MYCN_exon_3	MYCN	13	1512	1560	0.97
chr2	25227872	25234419	DNMT3A_exon_23	DNMT3A	54	6547	6480	1.01
chr2	25235704	25235824	DNMT3A_exon_22	DNMT3A	1	120	120	1.0
chr2	25236928	25237048	DNMT3A_exon_21	DNMT3A	1	120	120	1.0
chr2	25239119	25239239	DNMT3A_exon_20	DNMT3A	1	120	120	1.0
chr2	25240300	25240449	DNMT3A_exon_19	DNMT3A	2	149	240	0.62
chr2	25240623	25240743	DNMT3A_exon_18	DNMT3A	1	120	120	1.0
chr2	25241560	25241706	DNMT3A_exon_17	DNMT3A	2	146	240	0.61
chr2	25243892	25244012	DNMT3A_exon_16	DNMT3A	1	120	120	1.0
chr2	25244153	25244337	DNMT3A_exon_15	DNMT3A	2	184	240	0.77
chr2	25244534	25244654	DNMT3A_exon_14	DNMT3A	1	120	120	1.0
chr2	25245228	25245348	DNMT3A_exon_13	DNMT3A	1	120	120	1.0
chr2	25245944	25246064	DNMT3A_exon_12	DNMT3A	1	120	120	1.0
chr2	25246158	25246308	DNMT3A_exon_11	DNMT3A	2	150	240	0.62
chr2	25246618	25246775	DNMT3A_exon_10	DNMT3A	2	157	240	0.65
chr2	25247043	25247163	DNMT3A_exon_9	DNMT3A	1	120	120	1.0
chr2	25247589	25247748	DNMT3A_exon_8	DNMT3A	2	159	240	0.66
chr2	25248035	25248251	DNMT3A_exon_7	DNMT3A	2	216	240	0.9
chr2	25274939	25275086	DNMT3A_exon_6	DNMT3A	2	147	240	0.61
chr2	25275454	25275574	DNMT3A_exon_5	DNMT3A	1	120	120	1.0
chr2	25282439	25282710	DNMT3A_exon_4	DNMT3A	3	271	360	0.75
chr2	25300129	25300249	DNMT3A_exon_3	DNMT3A	1	120	120	1.0
chr2	25313911	25314160	DNMT3A_exon_2	DNMT3A	2	249	240	1.04
chr2	25341805	25341925	DNMT3A_exon_1	DNMT3A	1	120	120	1.0
chr2	25733751	25744475	ASXL2_exon_13	ASXL2	89	10724	10680	1.0
chr2	25749694	25750412	ASXL2_exon_12	ASXL2	6	718	720	1.0
chr2	25753525	25753645	ASXL2_exon_11	ASXL2	1	120	120	1.0
chr2	25756005	25756125	ASXL2_exon_10	ASXL2	1	120	120	1.0
chr2	25759480	25759644	ASXL2_exon_9	ASXL2	2	164	240	0.68
chr2	25767581	25767725	ASXL2_exon_8	ASXL2	2	144	240	0.6
chr2	25768743	25768863	ASXL2_exon_7	ASXL2	1	120	120	1.0
chr2	25771434	25771554	ASXL2_exon_6	ASXL2	1	120	120	1.0
chr2	25799383	25799534	ASXL2_exon_5	ASXL2	2	151	240	0.63
chr2	25806221	25806341	ASXL2_exon_4	ASXL2	1	120	120	1.0
chr2	25835531	25835651	ASXL2_exon_3	ASXL2	1	120	120	1.0
chr2	25845457	25845577	ASXL2_exon_2	ASXL2	1	120	120	1.0
chr2	25878164	25878486	ASXL2_exon_1	ASXL2	3	322	360	0.89
chr2	46297405	46297936	EPAS1_exon_1	EPAS1	5	531	600	0.89
chr2	46346871	46347062	EPAS1_exon_2	EPAS1	2	191	240	0.8
chr2	46356149	46356301	EPAS1_exon_3	EPAS1	2	152	240	0.63
chr2	46356722	46356842	EPAS1_exon_4	EPAS1	1	120	120	1.0
chr2	46360635	46360755	EPAS1_exon_5	EPAS1	1	120	120	1.0
chr2	46360883	46361089	EPAS1_exon_6	EPAS1	2	206	240	0.86
chr2	46369818	46369938	EPAS1_exon_7	EPAS1	1	120	120	1.0
chr2	46375688	46375836	EPAS1_exon_8	EPAS1	2	148	240	0.62
chr2	46376537	46376752	EPAS1_exon_9	EPAS1	2	215	240	0.9
chr2	46377892	46378086	EPAS1_exon_10	EPAS1	2	194	240	0.81
chr2	46378650	46378770	EPAS1_exon_11	EPAS1	1	120	120	1.0
chr2	46380225	46380716	EPAS1_exon_12	EPAS1	4	491	480	1.02
chr2	46381597	46381717	EPAS1_exon_13	EPAS1	1	120	120	1.0
chr2	46381970	46382090	EPAS1_exon_14	EPAS1	1	120	120	1.0
chr2	46382423	46382597	EPAS1_exon_15	EPAS1	2	174	240	0.72
chr2	46384507	46386696	EPAS1_exon_16	EPAS1	19	2189	2280	0.96
chr2	197389782	197392460	SF3B1_exon_25	SF3B1	21	2678	2520	1.06
chr2	197392970	197393187	SF3B1_exon_24	SF3B1	2	217	240	0.9
chr2	197396054	197396327	SF3B1_exon_23	SF3B1	3	273	360	0.76
chr2	197397983	197398115	SF3B1_exon_22	SF3B1	2	132	240	0.55
chr2	197398459	197398579	SF3B1_exon_21	SF3B1	1	120	120	1.0
chr2	197400049	197400169	SF3B1_exon_20	SF3B1	1	120	120	1.0
chr2	197400250	197400433	SF3B1_exon_19	SF3B1	2	183	240	0.76
chr2	197400713	197400935	SF3B1_exon_18	SF3B1	2	222	240	0.93
chr2	197401401	197401521	SF3B1_exon_17	SF3B1	1	120	120	1.0
chr2	197401740	197401887	SF3B1_exon_16	SF3B1	2	147	240	0.61
chr2	197401983	197402129	SF3B1_exon_15	SF3B1	2	146	240	0.61
chr2	197402554	197402825	SF3B1_exon_14	SF3B1	3	271	360	0.75
chr2	197402945	197403065	SF3B1_exon_13	SF3B1	1	120	120	1.0
chr2	197403583	197403763	SF3B1_exon_12	SF3B1	2	180	240	0.75
chr2	197405064	197405184	SF3B1_exon_11	SF3B1	1	120	120	1.0
chr2	197405273	197405471	SF3B1_exon_10	SF3B1	2	198	240	0.82
chr2	197407997	197408117	SF3B1_exon_9	SF3B1	1	120	120	1.0
chr2	197408367	197408580	SF3B1_exon_8	SF3B1	2	213	240	0.89
chr2	197409768	197410006	SF3B1_exon_7	SF3B1	2	238	240	0.99
chr2	197416739	197416910	SF3B1_exon_6	SF3B1	2	171	240	0.71
chr2	197418488	197418608	SF3B1_exon_5	SF3B1	1	120	120	1.0
chr2	197420423	197420543	SF3B1_exon_4	SF3B1	1	120	120	1.0
chr2	197421019	197421139	SF3B1_exon_3	SF3B1	1	120	120	1.0
chr2	197423806	197423973	SF3B1_exon_2	SF3B1	2	167	240	0.7
chr2	197434922	197435042	SF3B1_exon_1	SF3B1	1	120	120	1.0
chr2	208248367	208248659	IDH1_exon_4	IDH1	3	292	360	0.81
chr3	36993328	36993568	MLH1_5UTR	MLH1	2	240	240	1.0
chr3	38138659	38139027	MYD88_exon_1	MYD88	3	368	360	1.02
chr3	38139862	38139997	MYD88_exon_2	MYD88	2	135	240	0.56
chr3	38140386	38140567	MYD88_exon_3	MYD88	2	181	240	0.75
chr3	38140752	38140872	MYD88_exon_4	MYD88	1	120	120	1.0
chr3	38141130	38143021	MYD88_exon_5	MYD88	16	1891	1920	0.98
chr3	41199503	41199669	CTNNB1_exon_1	CTNNB1	2	166	240	0.69
chr3	41224019	41224139	CTNNB1_exon_2	CTNNB1	1	120	120	1.0
chr3	41224524	41224752	CTNNB1_exon_3	CTNNB1	2	228	240	0.95
chr3	41224952	41225206	CTNNB1_exon_4	CTNNB1	3	254	360	0.71
chr3	41225332	41225571	CTNNB1_exon_5	CTNNB1	2	239	240	1.0
chr3	41225658	41225860	CTNNB1_exon_6	CTNNB1	2	202	240	0.84
chr3	41227206	41227351	CTNNB1_exon_7	CTNNB1	2	145	240	0.6
chr3	41233336	41233456	CTNNB1_exon_8	CTNNB1	1	120	120	1.0
chr3	41233527	41233866	CTNNB1_exon_9	CTNNB1	3	339	360	0.94
chr3	41234137	41234296	CTNNB1_exon_10	CTNNB1	2	159	240	0.66
chr3	41235722	41235842	CTNNB1_exon_11	CTNNB1	1	120	120	1.0
chr3	41236347	41236498	CTNNB1_exon_12	CTNNB1	2	151	240	0.63
chr3	41236587	41236707	CTNNB1_exon_13	CTNNB1	1	120	120	1.0
chr3	41237986	41238106	CTNNB1_exon_14	CTNNB1	1	120	120	1.0
chr3	41239132	41240442	CTNNB1_exon_15	CTNNB1	11	1310	1320	0.99
chr3	47016434	47017253	SETD2_exon_21	SETD2	7	819	840	0.97
chr3	47017626	47017746	SETD2_exon_20	SETD2	1	120	120	1.0
chr3	47019721	47019841	SETD2_exon_19	SETD2	1	120	120	1.0
chr3	47037660	47037780	SETD2_exon_18	SETD2	1	120	120	1.0
chr3	47042559	47042699	SETD2_exon_17	SETD2	2	140	240	0.58
chr3	47046485	47046620	SETD2_exon_16	SETD2	2	135	240	0.56
chr3	47056819	47057489	SETD2_exon_15	SETD2	6	670	720	0.93
chr3	47062161	47062345	SETD2_exon_14	SETD2	2	184	240	0.77
chr3	47067037	47067157	SETD2_exon_13	SETD2	1	120	120	1.0
chr3	47083718	47084381	SETD2_exon_12	SETD2	6	663	720	0.92
chr3	47086193	47086313	SETD2_exon_11	SETD2	1	120	120	1.0
chr3	47088111	47088246	SETD2_exon_10	SETD2	2	135	240	0.56
chr3	47097956	47098076	SETD2_exon_9	SETD2	1	120	120	1.0
chr3	47101446	47101566	SETD2_exon_8	SETD2	1	120	120	1.0
chr3	47103316	47103436	SETD2_exon_7	SETD2	1	120	120	1.0
chr3	47105997	47106117	SETD2_exon_6	SETD2	1	120	120	1.0
chr3	47113878	47113998	SETD2_exon_5	SETD2	1	120	120	1.0
chr3	47116621	47116753	SETD2_exon_4	SETD2	2	132	240	0.55
chr3	47120180	47124547	SETD2_exon_3	SETD2	37	4367	4440	0.98
chr3	47126572	47126692	SETD2_exon_2	SETD2	1	120	120	1.0
chr3	47163852	47164128	SETD2_exon_1	SETD2	3	276	360	0.77
chr3	49171580	49171700	KLHDC8B_5UTR	KLHDC8B	1	120	120	1.0
chr3	105655459	105659228	CBLB_exon_19	CBLB	32	3769	3840	0.98
chr3	105670231	105670351	CBLB_exon_18	CBLB	1	120	120	1.0
chr3	105678429	105678570	CBLB_exon_17	CBLB	2	141	240	0.59
chr3	105681477	105681609	CBLB_exon_16	CBLB	2	132	240	0.55
chr3	105681716	105681836	CBLB_exon_15	CBLB	1	120	120	1.0
chr3	105685318	105685465	CBLB_exon_14	CBLB	2	147	240	0.61
chr3	105693471	105693591	CBLB_exon_13	CBLB	1	120	120	1.0
chr3	105702092	105702458	CBLB_exon_12	CBLB	3	366	360	1.02
chr3	105703986	105704172	CBLB_exon_11	CBLB	2	186	240	0.78
chr3	105720045	105720249	CBLB_exon_10	CBLB	2	204	240	0.85
chr3	105734007	105734139	CBLB_exon_9	CBLB	2	132	240	0.55
chr3	105737153	105737273	CBLB_exon_8	CBLB	1	120	120	1.0
chr3	105740492	105740630	CBLB_exon_7	CBLB	2	138	240	0.57
chr3	105745916	105746036	CBLB_exon_6	CBLB	1	120	120	1.0
chr3	105751460	105751617	CBLB_exon_5	CBLB	2	157	240	0.65
chr3	105776394	105776541	CBLB_exon_4	CBLB	2	147	240	0.61
chr3	105853412	105853663	CBLB_exon_3	CBLB	2	251	240	1.05
chr3	105867408	105867590	CBLB_exon_2	CBLB	2	182	240	0.76
chr3	105868734	105869011	CBLB_exon_1	CBLB	3	277	360	0.77
chr3	128479425	128481317	GATA2_exon_6	GATA2	16	1892	1920	0.99
chr3	128481820	128481940	GATA2_exon_5	GATA2	1	120	120	1.0
chr3	128482979	128483579	GATA2_intron4	GATA2	5	600	600	1.0
chr3	128483858	128484004	GATA2_exon_4	GATA2	2	146	240	0.61
chr3	128485725	128486367	GATA2_exon_3	GATA2	6	642	720	0.89
chr3	128486801	128487075	GATA2_exon_2	GATA2	3	274	360	0.76
chr3	128492897	128493200	GATA2_exon_1	GATA2	3	303	360	0.84
chr3	169764399	169765734	TERC	TERC	12	1335	1440	0.93
chr4	24527473	24528040	DHX15_exon_14	DHX15	5	567	600	0.94
chr4	24529599	24529769	DHX15_exon_13	DHX15	2	170	240	0.71
chr4	24532862	24533053	DHX15_exon_12	DHX15	2	191	240	0.8
chr4	24537050	24537170	DHX15_exon_11	DHX15	1	120	120	1.0
chr4	24540106	24540298	DHX15_exon_10	DHX15	2	192	240	0.8
chr4	24540832	24540952	DHX15_exon_9	DHX15	1	120	120	1.0
chr4	24541871	24542021	DHX15_exon_8	DHX15	2	150	240	0.62
chr4	24542922	24543042	DHX15_exon_7	DHX15	1	120	120	1.0
chr4	24548853	24549021	DHX15_exon_6	DHX15	2	168	240	0.7
chr4	24554723	24554942	DHX15_exon_5	DHX15	2	219	240	0.91
chr4	24556249	24556409	DHX15_exon_4	DHX15	2	160	240	0.67
chr4	24570652	24570846	DHX15_exon_3	DHX15	2	194	240	0.81
chr4	24576241	24576677	DHX15_exon_2	DHX15	4	436	480	0.91
chr4	24584321	24584553	DHX15_exon_1	DHX15	2	232	240	0.97
chr4	54657957	54658077	KIT_exon_1	KIT	1	120	120	1.0
chr4	54695510	54695780	KIT_exon_2	KIT	3	270	360	0.75
chr4	54698282	54698564	KIT_exon_3	KIT	3	282	360	0.78
chr4	54699628	54699765	KIT_exon_4	KIT	2	137	240	0.57
chr4	54703722	54703891	KIT_exon_5	KIT	2	169	240	0.7
chr4	54707096	54707286	KIT_exon_6	KIT	2	190	240	0.79
chr4	54709420	54709540	KIT_exon_7	KIT	1	120	120	1.0
chr4	54723579	54723699	KIT_exon_8	KIT	1	120	120	1.0
chr4	54725855	54726049	KIT_exon_9	KIT	2	194	240	0.81
chr4	54727209	54727329	KIT_exon_10	KIT	1	120	120	1.0
chr4	54727417	54727537	KIT_exon_11	KIT	1	120	120	1.0
chr4	54727813	54727933	KIT_exon_12	KIT	1	120	120	1.0
chr4	54728004	54728124	KIT_exon_13	KIT	1	120	120	1.0
chr4	54729333	54729484	KIT_exon_14	KIT	2	151	240	0.63
chr4	54731320	54731440	KIT_exon_15	KIT	1	120	120	1.0
chr4	54731873	54731993	KIT_exon_16	KIT	1	120	120	1.0
chr4	54733069	54733189	KIT_exon_17	KIT	1	120	120	1.0
chr4	54736492	54736612	KIT_exon_18	KIT	1	120	120	1.0
chr4	54736706	54736826	KIT_exon_19	KIT	1	120	120	1.0
chr4	54737166	54737286	KIT_exon_20	KIT	1	120	120	1.0
chr4	54738427	54740714	KIT_exon_21	KIT	19	2287	2280	1.0
chr4	105146863	105146983	TET2_exon_1	TET2	1	120	120	1.0
chr4	105190358	105190504	TET2_exon_2	TET2	2	146	240	0.61
chr4	105233895	105237350	TET2_exon_3	TET2	29	3455	3480	0.99
chr4	105241335	105241455	TET2_exon_4	TET2	1	120	120	1.0
chr4	105242818	105242938	TET2_exon_5	TET2	1	120	120	1.0
chr4	105243568	105243777	TET2_exon_6	TET2	2	209	240	0.87
chr4	105259617	105259768	TET2_exon_7	TET2	2	151	240	0.63
chr4	105261753	105261873	TET2_exon_8	TET2	1	120	120	1.0
chr4	105269608	105269746	TET2_exon_9	TET2	2	138	240	0.57
chr4	105272562	105272917	TET2_exon_10	TET2	3	355	360	0.99
chr4	105275046	105279802	TET2_exon_11	TET2	39	4756	4680	1.02
chr4	163128667	163129347	NAF1_exon_8	NAF1	6	680	720	0.94
chr4	163133145	163133265	NAF1_exon_7	NAF1	1	120	120	1.0
chr4	163137154	163137274	NAF1_exon_6	NAF1	1	120	120	1.0
chr4	163140221	163140382	NAF1_exon_5	NAF1	2	161	240	0.67
chr4	163145747	163145867	NAF1_exon_4	NAF1	1	120	120	1.0
chr4	163148325	163148445	NAF1_exon_3	NAF1	1	120	120	1.0
chr4	163164215	163164390	NAF1_exon_2	NAF1	2	175	240	0.73
chr4	163166361	163166889	NAF1_exon_1	NAF1	5	528	600	0.88
chr5	35856889	35857058	IL7R_exon_1	IL7R	2	169	240	0.7
chr5	35860850	35860989	IL7R_exon_2	IL7R	2	139	240	0.58
chr5	35867304	35867462	IL7R_exon_3	IL7R	2	158	240	0.66
chr5	35871054	35871212	IL7R_exon_4	IL7R	2	158	240	0.66
chr5	35873478	35873647	IL7R_exon_5	IL7R	2	169	240	0.7
chr5	35874434	35874554	IL7R_exon_6	IL7R	1	120	120	1.0
chr5	35875468	35875588	IL7R_exon_7	IL7R	1	120	120	1.0
chr5	35875981	35879602	IL7R_exon_8	IL7R	31	3621	3720	0.97
chr5	132481607	132484074	IRF1_exon_10	IRF1	14	2467	1680	1.47
chr5	132484360	132484496	IRF1_exon_9	IRF1	2	136	240	0.57
chr5	132485624	132485744	IRF1_exon_8	IRF1	1	120	120	1.0
chr5	132486250	132486370	IRF1_exon_7	IRF1	1	120	120	1.0
chr5	132486560	132486680	IRF1_exon_6	IRF1	1	120	120	1.0
chr5	132486728	132486848	IRF1_exon_5	IRF1	1	120	120	1.0
chr5	132486952	132487129	IRF1_exon_4	IRF1	2	177	240	0.74
chr5	132487923	132488043	IRF1_exon_3	IRF1	1	120	120	1.0
chr5	132489384	132489504	IRF1_exon_2	IRF1	1	120	120	1.0
chr5	132490543	132490772	IRF1_exon_1	IRF1	2	229	240	0.95
chr5	149492966	149496859	CSNK1A1_exon_10	CSNK1A1	31	3893	3720	1.05
chr5	149505445	149505594	CSNK1A1_exon_9	CSNK1A1	2	149	240	0.62
chr5	149507018	149507138	CSNK1A1_exon_8	CSNK1A1	1	120	120	1.0
chr5	149509877	149509997	CSNK1A1_exon_7	CSNK1A1	1	120	120	1.0
chr5	149511770	149511890	CSNK1A1_exon_6	CSNK1A1	1	120	120	1.0
chr5	149513068	149513208	CSNK1A1_exon_5	CSNK1A1	2	140	240	0.58
chr5	149520274	149520394	CSNK1A1_exon_4	CSNK1A1	1	120	120	1.0
chr5	149525046	149525166	CSNK1A1_exon_3	CSNK1A1	1	120	120	1.0
chr5	149550066	149550186	CSNK1A1_exon_2	CSNK1A1	1	120	120	1.0
chr5	149550840	149551438	CSNK1A1_exon_1	CSNK1A1	5	598	600	1.0
chr5	150053293	150054223	CSF1R_exon_21	CSF1R	8	930	960	0.97
chr5	150054314	150054434	CSF1R_exon_20	CSF1R	1	120	120	1.0
chr5	150055225	150055345	CSF1R_exon_19	CSF1R	1	120	120	1.0
chr5	150056020	150056140	CSF1R_exon_18	CSF1R	1	120	120	1.0
chr5	150056218	150056338	CSF1R_exon_17	CSF1R	1	120	120	1.0
chr5	150057275	150057395	CSF1R_exon_16	CSF1R	1	120	120	1.0
chr5	150057491	150057611	CSF1R_exon_15	CSF1R	1	120	120	1.0
chr5	150059698	150059861	CSF1R_exon_14	CSF1R	2	163	240	0.68
chr5	150060855	150060975	CSF1R_exon_13	CSF1R	1	120	120	1.0
chr5	150061481	150061601	CSF1R_exon_12	CSF1R	1	120	120	1.0
chr5	150061724	150061844	CSF1R_exon_11	CSF1R	1	120	120	1.0
chr5	150068211	150068331	CSF1R_exon_10	CSF1R	1	120	120	1.0
chr5	150069871	150070062	CSF1R_exon_9	CSF1R	2	191	240	0.8
chr5	150070180	150070300	CSF1R_exon_8	CSF1R	1	120	120	1.0
chr5	150070452	150070572	CSF1R_exon_7	CSF1R	1	120	120	1.0
chr5	150073299	150073492	CSF1R_exon_6	CSF1R	2	193	240	0.8
chr5	150077274	150077434	CSF1R_exon_5	CSF1R	2	160	240	0.67
chr5	150078110	150078247	CSF1R_exon_4	CSF1R	2	137	240	0.57
chr5	150080050	150080335	CSF1R_exon_3	CSF1R	3	285	360	0.79
chr5	150080765	150081023	CSF1R_exon_2	CSF1R	3	258	360	0.72
chr5	150086377	150086553	CSF1R_exon_1	CSF1R	2	176	240	0.73
chr5	171387847	171388005	NPM1_exon_1	NPM1	2	158	240	0.66
chr5	171390015	171390135	NPM1_exon_2	NPM1	1	120	120	1.0
chr5	171391303	171391423	NPM1_exon_3	NPM1	1	120	120	1.0
chr5	171391680	171391800	NPM1_exon_4	NPM1	1	120	120	1.0
chr5	171392701	171392821	NPM1_exon_5	NPM1	1	120	120	1.0
chr5	171392864	171392984	NPM1_exon_6	NPM1	1	120	120	1.0
chr5	171400118	171400238	NPM1_exon_7	NPM1	1	120	120	1.0
chr5	171400834	171400954	NPM1_exon_8	NPM1	1	120	120	1.0
chr5	171405298	171405418	NPM1_exon_9	NPM1	1	120	120	1.0
