gene	chromosome	start	end	mean_log2	stdev_log2	fp_gain_count	fp_loss_count	fp_gain_rate	fp_loss_rate	fp_any_rate	n_samples
PHIP	chr6	78940643	79078079	-0.037120	0.100652	0	0	0.000000	0.000000	0.000000	55
CCNC	chr6	99545062	99550318	-0.114354	0.146100	0	0	0.000000	0.000000	0.000000	55
MYB	chr6	135181465	135217994	-0.016176	0.119532	0	0	0.000000	0.000000	0.000000	55
IKZF1	chr7	50319042	50400628	-0.048367	0.173764	0	0	0.000000	0.000000	0.000000	55
SAMD9	chr7	93101308	93106108	-0.029395	0.084582	0	0	0.000000	0.000000	0.000000	55
SAMD9L	chr7	93131207	93136007	-0.015549	0.077086	0	0	0.000000	0.000000	0.000000	55
CUX1	chr7	101815961	102249137	-0.030085	0.181323	2	0	0.036364	0.000000	0.036364	55
BPGM	chr7	134661428	134679063	-0.018611	0.095892	0	0	0.000000	0.000000	0.000000	55
LUC7L2	chr7	139371352	139422353	-0.048541	0.275635	2	0	0.036364	0.000000	0.036364	55
BRAF	chr7	140753185	140753425	0.057770	0.205948	2	0	0.036364	0.000000	0.036364	55
EZH2	chr7	148807586	148847362	-0.021742	0.076430	0	0	0.000000	0.000000	0.000000	55
XRCC2	chr7	152648552	152676150	-0.156685	0.105309	0	0	0.000000	0.000000	0.000000	55
CSMD1	chr8	3347962	4032105	-0.044562	0.091764	0	0	0.000000	0.000000	0.000000	55
ZFHX4	chr8	76704049	76864584	0.006669	0.091519	0	0	0.000000	0.000000	0.000000	55
RAD21	chr8	116847460	116866806	-0.010598	0.069325	0	0	0.000000	0.000000	0.000000	55
JAK2	chr9	5069835	5078496	-0.010176	0.124097	0	0	0.000000	0.000000	0.000000	55
NOTCH3	chr9	15296030	15296270	-0.006087	0.085352	0	0	0.000000	0.000000	0.000000	55
CDKN2A	chr9	21970923	21994369	0.047123	0.508857	11	11	0.200000	0.200000	0.400000	55
CDKN2B	chr9	22005927	22008998	-0.022885	0.249995	1	1	0.018182	0.018182	0.036364	55
HNRNPK	chr9	83969327	83978285	-0.056775	0.189281	0	0	0.000000	0.000000	0.000000	55
NOTCH1	chr9	133680595	136505133	0.000826	0.191296	2	0	0.036364	0.000000	0.036364	55
ANKRD26	chr10	26811346	27100415	-0.061010	0.126681	0	0	0.000000	0.000000	0.000000	55
PTEN	chr10	87864450	87965477	0.018143	0.246761	4	0	0.072727	0.000000	0.072727	55
SMC3	chr10	110578528	110603374	-0.008211	0.086252	0	0	0.000000	0.000000	0.000000	55
HRAS	chr11	532546	534382	-0.056583	0.209887	1	1	0.018182	0.018182	0.036364	55
WT1	chr11	32389018	32435431	-0.027289	0.164937	1	0	0.018182	0.000000	0.018182	55
SF1	chr11	64765808	64778437	-0.005837	0.125527	0	0	0.000000	0.000000	0.000000	55
EED	chr11	86245170	86278629	-0.020383	0.097105	0	0	0.000000	0.000000	0.000000	55
KMT2A	chr11	118436462	118522227	-0.012126	0.179380	0	0	0.000000	0.000000	0.000000	55
CBL	chr11	119206398	119278740	-0.020388	0.087792	0	0	0.000000	0.000000	0.000000	55
ETV6	chr12	11650058	11891051	0.076592	0.088723	0	0	0.000000	0.000000	0.000000	55
CDKN1B	chr12	12717800	12719045	0.166580	0.097272	0	0	0.000000	0.000000	0.000000	55
ETNK1	chr12	22625089	22684992	0.000046	0.096654	0	0	0.000000	0.000000	0.000000	55
KRAS	chr12	25225544	25245384	-0.050011	0.223685	0	1	0.000000	0.018182	0.018182	55
PRPF40B	chr12	49623517	49644210	-0.039292	0.218384	1	0	0.018182	0.000000	0.018182	55
NFE2	chr12	54292344	54295355	0.007048	0.070885	0	0	0.000000	0.000000	0.000000	55
BTG1	chr12	92144050	92145588	0.000926	0.183213	1	0	0.018182	0.000000	0.018182	55
SH2B3	chr12	111418046	111448313	0.081745	0.209755	5	0	0.090909	0.000000	0.090909	55
PTPN	chr12	112419043	112504805	-0.026893	0.185861	1	0	0.018182	0.000000	0.018182	55
SETD1B	chr12	121804688	121830256	0.027653	0.170312	1	0	0.018182	0.000000	0.018182	55
FLT3	chr13	28018407	28034411	-0.124037	0.199393	0	1	0.000000	0.018182	0.018182	55
LIG4	chr13	108208523	108211283	0.040086	0.215040	2	0	0.036364	0.000000	0.036364	55
BCL11B	chr14	99174141	99271279	-0.038726	0.371873	6	4	0.109091	0.072727	0.181818	55
AKT1	chr14	104770261	104792698	0.035715	0.208357	2	1	0.036364	0.018182	0.054545	55
RAD51	chr15	40698749	40731255	-0.031040	0.090586	0	0	0.000000	0.000000	0.000000	55
MAP2K1	chr15	66435017	66436956	-0.026943	0.124599	0	0	0.000000	0.000000	0.000000	55
IDH2	chr15	90088339	90088767	0.102618	0.109364	0	0	0.000000	0.000000	0.000000	55
PARN	chr16	14580854	14586418	-0.043592	0.239987	1	3	0.018182	0.054545	0.072727	55
CTCF	chr16	67610783	67637878	-0.037659	0.060194	0	0	0.000000	0.000000	0.000000	55
PRPF8	chr17	1650732	1684621	0.003463	0.137373	0	0	0.000000	0.000000	0.000000	55
TP53	chr17	7669559	7676662	-0.052242	0.148109	0	0	0.000000	0.000000	0.000000	55
KDM6B	chr17	7845487	7852382	0.000099	0.220785	1	1	0.018182	0.018182	0.036364	55
NF1	chr17	31095259	31374204	-0.077130	0.130301	0	0	0.000000	0.000000	0.000000	55
SUZ12	chr17	31988258	31999070	-0.100006	0.134792	0	0	0.000000	0.000000	0.000000	55
STAT5B	chr17	42207513	42207773	0.173675	0.230852	9	0	0.163636	0.000000	0.163636	55
STAT3	chr17	42322207	42323397	-0.002771	0.174933	0	0	0.000000	0.000000	0.000000	55
UBTF	chr17	44210022	44211011	-0.014875	0.249803	3	0	0.054545	0.000000	0.054545	55
RAD51C	chr17	58692580	58734269	-0.174628	0.138670	0	1	0.000000	0.018182	0.018182	55
PPM1D	chr17	60600339	60663626	0.049846	0.155448	1	0	0.018182	0.000000	0.018182	55
SRSF2	chr17	76736111	76737209	0.044925	0.278270	5	1	0.090909	0.018182	0.109091	55
SETBP1	chr18	44701274	45063748	-0.003610	0.191027	0	0	0.000000	0.000000	0.000000	55
ELANE	chr19	852282	856211	-0.076497	0.234551	1	1	0.018182	0.018182	0.036364	55
ZBTB7A	chr19	4047707	4055301	0.032373	0.311717	3	3	0.054545	0.054545	0.109091	55
DNMT1	chr19	10133594	10194949	-0.093114	0.145973	0	0	0.000000	0.000000	0.000000	55
EPOR	chr19	11377855	11384250	-0.036879	0.139265	0	0	0.000000	0.000000	0.000000	55
CALR	chr19	12943673	12943913	-0.047950	0.121015	0	0	0.000000	0.000000	0.000000	55
ZNF91	chr19	23362283	23395465	-0.090653	0.112475	0	0	0.000000	0.000000	0.000000	55
CEBPA	chr19	33301288	33302456	0.064793	0.563141	16	9	0.290909	0.163636	0.454545	55
U2AF2	chr19	55655058	55674144	-0.126877	0.227426	1	1	0.018182	0.018182	0.036364	55
ASXL1	chr20	32431563	32437422	0.033320	0.051133	0	0	0.000000	0.000000	0.000000	55
GNAS	chr20	58909320	58909854	-0.046037	0.118320	0	0	0.000000	0.000000	0.000000	55
RUNX1	chr21	34792065	35048942	0.014489	0.140883	0	0	0.000000	0.000000	0.000000	55
U2AF1	chr21	43093092	43104425	0.011881	0.261310	3	0	0.054545	0.000000	0.054545	55
MN1	chr22	27750865	27800694	0.072442	0.337147	9	2	0.163636	0.036364	0.200000	55
CHEK2	chr22	28687867	28734733	-0.000401	0.098381	0	0	0.000000	0.000000	0.000000	55
SF3A1	chr22	30334504	30356840	0.020393	0.137738	0	0	0.000000	0.000000	0.000000	55
PIGA	chrX	15321486	15331977	0.510016	0.446726	29	0	0.527273	0.000000	0.527273	55
ZRSR2	chrX	15790425	15823301	0.516362	0.408511	29	0	0.527273	0.000000	0.527273	55
BCOR	chrX	40052049	40077944	0.508056	0.432292	29	0	0.527273	0.000000	0.527273	55
DDX3X	chrX	41334203	41347750	0.468787	0.444831	29	0	0.527273	0.000000	0.527273	55
KDM6A	chrX	44873492	45111486	0.488937	0.423723	29	0	0.527273	0.000000	0.527273	55
UBA1	chrX	47198693	47214994	0.536486	0.433108	29	0	0.527273	0.000000	0.527273	55
GATA1	chrX	48791050	48794234	0.522128	0.424141	29	0	0.527273	0.000000	0.527273	55
SMC1A	chrX	53399559	53415201	0.525233	0.471555	29	0	0.527273	0.000000	0.527273	55
ALAS2	chrX	55009004	55031151	0.554931	0.402202	29	0	0.527273	0.000000	0.527273	55
BTK	chrX	101356032	101356272	0.504520	0.531623	30	0	0.545455	0.000000	0.545455	55
STAG2	chrX	124022568	124100644	0.521184	0.413425	29	0	0.527273	0.000000	0.527273	55
BCORL1	chrX	130005212	130056144	0.493224	0.432229	28	0	0.509091	0.000000	0.509091	55
PHF6	chrX	134377548	134425331	0.482128	0.379358	29	0	0.527273	0.000000	0.527273	55
