Chromosome	Position	RelativeEnrichment
chr1	176442001	0.7067
chr1	177267001	0.8957
chr1	178621001	0.8514
chr1	179553001	0.3724
chr1	180927001	0.6029
chr1	181580001	0.7231
chr1	182611001	0.2642
chr1	182612001	0.4376
chr1	183609001	0.6534
chr1	184555001	0.5429
chr1	185250001	0.7766
chr1	187307001	0.7111
chr1	188250001	1.5931
chr1	188974001	0.5412
chr1	190097001	3.5154
chr1	190098001	4.7733
chr1	190099001	NaN
chr1	190160001	1.7344
chr1	190215001	NaN
chr1	190226001	1.4486
chr1	190234001	1.0015
chr1	190264001	0.7827
chr1	190265001	0.5504
chr1	190281001	1.2679
chr1	190454001	1.5128
chr1	190477001	2.1719
chr1	190893001	NaN
chr1	190894001	NaN
chr1	191593001	0.4317
chr1	191594001	0.2524
chr1	192592001	NaN
chr1	193469001	0.7995
chr1	194513001	0.6554
chr1	195248001	0.6702
chr1	195249001	0.3318
chr1	196713001	0.7592
chr1	198126001	1.0210
chr1	199244001	0.3237
chr1	200233001	0.7072
chr1	201253001	0.6300
chr1	202208001	0.2947
chr1	202209001	0.3868
chr1	202331001	1.4123
chr1	202332001	0.8948
chr1	202333001	2.1448
chr1	202334001	0.3437
chr1	202335001	1.5236
chr1	202341001	0.5859
chr1	203601001	0.7836
chr1	204244001	0.7482
chr1	204915001	0.8224
chr1	206224001	0.4221
chr1	206705001	0.6950
chr1	207375001	0.4967
chr1	208065001	0.7895
chr1	209035001	0.7284
chr1	209659001	0.4278
chr1	209660001	0.3583
chr1	210381001	0.6493
chr1	211371001	0.3887
chr1	211372001	0.3617
chr1	212365001	0.4248
chr1	212366001	0.3952
chr1	213036001	0.4215
chr1	213037001	0.4665
chr1	213982001	NaN
chr1	215301001	1.0134
chr1	216500001	0.5484
chr1	216501001	0.2792
chr1	217798001	0.7211
chr1	218685001	0.7427
chr1	219385001	0.5672
chr1	219991001	0.6108
chr1	221030001	0.5962
chr1	221692001	0.4090
chr1	221693001	0.3020
chr1	222742001	1.3851
chr1	223344001	0.7131
chr1	224175001	0.6572
chr1	225689001	0.4107
chr1	225690001	0.3287
chr1	226484001	0.7352
chr1	228348001	0.5910
chr1	229065001	0.7510
chr1	229715001	0.6468
chr1	230716001	0.7985
chr1	231363001	1.8953
chr1	231364001	5.8162
chr1	231365001	3.8119
chr1	231366001	3.0152
chr1	231367001	0.9325
chr1	231370001	0.9064
chr1	231373001	0.3467
chr1	231374001	0.6589
chr1	231400001	0.5848
chr1	231420001	0.3029
chr1	231421001	1.3777
chr1	231422001	NaN
chr1	232392001	0.6596
chr1	233087001	0.6447
chr1	234028001	0.7295
chr1	234726001	0.6400
chr1	235457001	0.5076
chr1	236410001	0.5252
chr1	236411001	0.2327
chr1	237307001	0.6443
chr1	238300001	0.5307
chr1	239052001	0.4659
chr1	240361001	0.5907
chr1	241015001	0.4535
chr1	241701001	0.8627
chr1	242383001	0.6983
chr1	243159001	0.4821
chr1	244728001	0.7778
chr1	245386001	0.6444
chr1	246947001	0.6489
chr1	248360001	0.5250
chr1	248361001	0.3157
chr2	615001	0.3251
chr2	616001	0.3649
chr2	2113001	0.5968
chr2	2751001	0.7211
chr2	3724001	0.7189
chr2	4852001	0.3115
chr2	4853001	0.4994
chr2	5363001	0.6275
chr2	5987001	0.4030
chr2	7210001	0.7919
chr2	7861001	0.8271
chr2	9139001	0.6228
chr2	9979001	0.7224
chr2	10873001	0.5830
chr2	11800001	0.6895
chr2	12420001	0.2118
chr2	12421001	0.6202
chr2	13339001	0.6365
chr2	13941001	0.5522
chr2	15166001	0.6873
chr2	15772001	0.6920
chr2	15940001	0.7804
chr2	15941001	0.2910
chr2	15942001	NaN
chr2	15945001	1.9841
chr2	15946001	3.2833
chr2	15947001	NaN
chr2	16809001	0.4196
chr2	16810001	0.3912
chr2	17864001	0.4494
chr2	17865001	0.5551
chr2	18743001	0.1913
chr2	18744001	NaN
chr2	19346001	0.2266
chr2	19347001	0.4989
chr2	20006001	0.6297
chr2	20626001	0.6050
chr2	21231001	0.5928
chr2	22329001	0.4395
chr2	23642001	NaN
chr2	23643001	0.3829
chr2	24433001	0.6693
chr2	25150001	0.4427
chr2	25227001	0.7296
chr2	25228001	3.3333
chr2	25229001	4.3757
chr2	25230001	3.5933
chr2	25231001	3.9812
chr2	25232001	3.7105
chr2	25233001	3.6477
chr2	25234001	2.1483
chr2	25235001	0.6945
chr2	25236001	0.4138
chr2	25237001	0.3048
chr2	25239001	0.7648
chr2	25240001	1.7096
chr2	25241001	0.8644
chr2	25243001	0.5722
chr2	25244001	1.7666
chr2	25245001	1.2650
chr2	25246001	2.1134
chr2	25247001	1.7744
chr2	25248001	1.0319
chr2	25274001	0.4998
chr2	25275001	1.1186
chr2	25282001	1.2782
chr2	25300001	0.6867
chr2	25313001	0.4124
chr2	25314001	0.6327
chr2	25341001	NaN
chr2	25733001	1.8992
chr2	25734001	5.2519
chr2	25735001	6.7887
chr2	25736001	4.8568
chr2	25737001	4.8868
chr2	25738001	4.9598
chr2	25739001	5.3335
chr2	25740001	4.5510
chr2	25741001	5.2241
chr2	25742001	4.1157
chr2	25743001	4.4961
chr2	25744001	2.0870
chr2	25749001	1.4717
chr2	25750001	2.2385
chr2	25753001	0.9515
chr2	25756001	0.5947
chr2	25759001	1.1448
chr2	25767001	1.0898
chr2	25768001	0.7588
chr2	25771001	0.8361
chr2	25799001	1.0104
chr2	25806001	0.8011
chr2	25835001	1.0646
chr2	25845001	1.3036
chr2	25878001	0.7004
chr2	26318001	0.6142
chr2	27161001	0.8109
chr2	27959001	0.7700
chr2	28578001	0.3213
chr2	28579001	0.4621
chr2	29232001	0.4977
chr2	29233001	0.2701
chr2	30039001	0.9090
chr2	30713001	0.7185
chr2	31369001	0.6772
chr2	32232001	0.8781
chr2	32837001	0.8163
chr2	33474001	0.4350
chr2	33475001	0.4747
chr2	34080001	0.9426
chr2	34850001	0.6112
chr2	35605001	0.5585
chr2	36838001	0.9529
chr2	37760001	0.6277
chr2	38446001	0.7554
chr2	39879001	0.8888
chr2	40797001	0.7049
chr2	41733001	0.5224
chr2	42497001	0.4562
chr2	43220001	0.6010
chr2	44169001	0.5364
chr2	45088001	0.6793
chr2	46017001	0.2501
chr2	46018001	0.4786
chr2	46297001	1.5613
chr2	46346001	0.7005
chr2	46347001	0.5029
chr2	46356001	1.5797
chr2	46360001	1.3841
chr2	46361001	0.5582
chr2	46369001	0.6873
chr2	46375001	0.7064
chr2	46376001	1.2398
chr2	46377001	0.6940
chr2	46378001	1.2925
chr2	46380001	2.0289
chr2	46381001	0.9927
chr2	46382001	1.7391
chr2	46384001	2.2684
chr2	46385001	3.8965
chr2	46386001	3.0876
chr2	47680001	NaN
chr2	48560001	0.6955
chr2	49369001	0.9401
chr2	50004001	0.5034
chr2	50616001	0.4033
chr2	51225001	0.6481
chr2	51226001	0.2064
chr2	52097001	0.4301
chr2	53032001	0.8607
chr2	53662001	0.4241
chr2	54572001	0.5410
chr2	55216001	0.4833
chr2	56127001	0.8162
chr2	57045001	0.8458
chr2	57904001	0.4105
chr2	57905001	NaN
chr2	58583001	0.7989
chr2	59518001	0.8010
chr2	60434001	0.7042
chr2	61118001	0.4178
chr2	61119001	0.3856
chr2	61734001	0.9297
chr2	63398001	0.9269
chr2	64104001	0.5008
chr2	65108001	0.5269
chr2	66228001	0.6591
chr2	67144001	0.7179
chr2	67781001	0.2380
chr2	68691001	0.5071
chr2	69294001	0.7921
chr2	70200001	0.5971
chr2	70975001	0.7507
chr2	71778001	0.8220
chr2	73220001	0.7550
chr2	74095001	0.6408
chr2	74814001	0.6854
chr2	76276001	0.7226
chr2	76994001	0.7288
chr2	76995001	0.2666
chr2	79423001	0.5165
chr2	80296001	0.2723
chr2	80297001	0.5739
chr2	81411001	0.3493
chr2	83756001	0.6050
chr2	85535001	0.8166
chr2	86138001	0.5138
chr2	87131001	NaN
chr2	87132001	0.1154
chr2	87662001	0.6703
chr2	88502001	0.6375
chr2	89955001	0.4663
chr2	91892001	0.1642
chr2	95196001	0.3745
chr2	95197001	0.3080
chr2	95856001	0.8827
chr2	98368001	0.8440
chr2	99337001	NaN
chr2	100147001	0.7225
chr2	101049001	0.7921
chr2	101984001	0.6798
chr2	102593001	0.6085
chr2	103963001	0.5365
chr2	105049001	0.7383
chr2	105966001	0.6721
chr2	106582001	0.5190
chr2	107798001	0.7760
chr2	109031001	0.3508
chr2	109499001	0.6795
chr2	110273001	0.3745
chr2	111031001	0.8711
chr2	111644001	0.6574
chr2	112551001	0.5917
chr2	113176001	0.7218
chr2	114039001	0.6893
chr2	114709001	0.5443
chr2	114710001	0.2408
chr2	115620001	0.4679
chr2	115621001	0.1998
chr2	116245001	0.6900
chr2	117092001	0.6153
chr2	117772001	0.7745
chr2	118942001	0.8821
chr2	120218001	0.7086
chr2	120821001	0.4954
chr2	120822001	0.2999
chr2	121816001	0.7963
chr2	122638001	0.4887
chr2	123298001	1.6656
chr2	123907001	0.7909
chr2	124509001	0.4715
chr2	125726001	0.6301
chr2	126365001	0.5094
chr2	126981001	0.6705
chr2	127637001	0.5597
chr2	128540001	0.7298
chr2	129362001	0.6901
chr2	130317001	0.6013
chr2	131536001	0.5488
chr2	133090001	0.5617
chr2	134008001	0.6663
chr2	134919001	0.5792
chr2	135798001	0.6059
chr2	136494001	0.7285
chr2	137673001	0.8505
chr2	138279001	0.7885
chr2	139192001	0.2383
chr2	139193001	0.5949
chr2	139808001	0.6026
chr2	140423001	0.6657
chr2	141036001	0.8357
chr2	141956001	0.3987
chr2	141957001	0.5613
chr2	142884001	0.8166
chr2	143522001	0.4830
chr2	143523001	0.2110
chr2	144456001	0.2708
chr2	144457001	0.4199
chr2	145335001	0.6666
chr2	145935001	0.4920
chr2	145936001	0.3950
chr2	146833001	0.2971
chr2	146834001	NaN
chr2	147530001	1.0346
chr2	148935001	0.5724
chr2	150148001	0.5920
chr2	150763001	0.6789
chr2	151609001	0.8313
chr2	152379001	0.7278
chr2	153142001	0.5804
chr2	155025001	0.5680
chr2	155682001	0.7823
chr2	156311001	0.3908
chr2	158046001	0.8213
chr2	158706001	0.8161
chr2	159533001	1.1804
chr2	160495001	0.6741
chr2	161226001	0.6909
chr2	161872001	0.4730
chr2	163171001	0.8193
chr2	163917001	0.7362
chr2	164790001	0.8232
chr2	165410001	0.1620
chr2	166354001	0.7047
chr2	166959001	0.8478
chr2	167692001	0.7499
chr2	168429001	0.7408
chr2	169115001	0.3030
chr2	169116001	0.4254
chr2	169766001	0.5542
chr2	170829001	0.2834
chr2	170830001	0.4843
chr2	171574001	0.3187
chr2	172479001	0.7541
chr2	173840001	0.6975
chr2	174784001	0.7355
chr2	175557001	0.5518
chr2	176205001	0.8020
chr2	177060001	0.6554
chr2	177998001	0.8033
chr2	178843001	0.5755
chr2	178844001	0.7106
chr2	179528001	0.8327
chr2	180136001	0.2870
chr2	180137001	0.1212
chr2	180751001	0.6761
chr2	181371001	0.8319
chr2	181988001	0.4203
chr2	182597001	0.6572
chr2	183513001	0.7750
chr2	184131001	0.7093
chr2	185346001	0.8591
chr2	186488001	0.7061
chr2	187599001	0.5901
chr2	188416001	0.7761
chr2	189288001	0.7111
chr2	190531001	0.7676
chr2	191160001	0.5916
chr2	192094001	0.9842
chr2	192699001	0.6420
chr2	194486001	0.6262
chr2	195452001	0.4805
chr2	196246001	0.6392
chr2	197301001	0.7203
chr2	197389001	1.3528
chr2	197390001	4.3764
chr2	197391001	6.0032
chr2	197392001	3.5346
chr2	197393001	1.0014
chr2	197396001	2.0334
chr2	197397001	0.3659
chr2	197398001	1.8272
chr2	197400001	4.0549
chr2	197401001	2.9467
chr2	197402001	2.7783
chr2	197403001	1.9729
chr2	197405001	2.4005
chr2	197407001	0.6406
chr2	197408001	1.7714
chr2	197409001	0.9823
chr2	197410001	0.7585
chr2	197416001	1.1614
chr2	197418001	0.7560
chr2	197420001	1.2155
chr2	197421001	0.6573
chr2	197423001	1.1214
chr2	197434001	0.3822
chr2	197435001	0.3545
chr2	199144001	0.7427
chr2	200050001	0.8143
chr2	200794001	0.7064
chr2	201636001	0.8366
chr2	202767001	0.8943
chr2	203713001	0.8517
chr2	204335001	0.7689
chr2	204969001	0.8854
chr2	206189001	0.7295
chr2	207082001	0.7220
chr2	208872001	0.7206
chr2	209829001	0.3938
chr2	209830001	0.4554
chr2	210784001	0.3767
chr2	211690001	0.7490
chr2	212710001	0.7859
chr2	214127001	0.7003
chr2	214749001	0.7825
chr2	215662001	0.6566
chr2	216283001	0.6934
chr2	216897001	0.7942
chr2	217526001	0.7570
chr2	218403001	0.6408
chr2	219028001	0.5548
chr2	219916001	0.8978
chr2	220587001	0.8746
chr2	221817001	0.6799
chr2	222806001	0.7218
chr2	223721001	0.7331
chr2	224557001	0.8233
chr2	225498001	0.5763
chr2	226334001	0.8925
chr2	227002001	0.7478
chr2	227609001	0.6025
chr2	228227001	0.6781
chr2	228914001	0.7387
chr2	230326001	0.2213
chr2	230327001	0.4299
chr2	230982001	0.5518
chr2	231600001	0.5807
chr2	233133001	0.6792
chr2	234001001	0.5442
chr2	234954001	0.4582
chr2	234955001	0.4286
chr2	235825001	0.7544
chr2	237035001	0.5708
chr2	237992001	0.5745
chr2	238596001	0.4428
chr2	238597001	0.2848
chr2	239191001	0.6962
chr2	239811001	0.6613
chr2	240704001	0.4540
chr2	241324001	0.6094
chr2	241325001	0.2363
chr3	540001	1.3694
chr3	2034001	0.9552
chr3	2664001	0.9258
chr3	3266001	0.6423
chr3	4182001	0.2174
chr3	4183001	0.5133
chr3	5071001	0.4079
chr3	5678001	0.7412
chr3	6568001	0.7002
chr3	7168001	0.3102
chr3	7169001	0.4746
chr3	7820001	0.4476
chr3	8996001	0.6993
chr3	9603001	0.6416
chr3	10498001	0.8548
chr3	11392001	0.8357
chr3	12435001	0.7880
chr3	13213001	0.5081
chr3	14116001	0.7705
chr3	15110001	0.6511
chr3	16210001	0.8799
chr3	17092001	0.5955
chr3	18248001	0.2448
chr3	18249001	0.4621
chr3	18873001	1.0497
chr3	19523001	0.7466
chr3	19524001	0.3834
chr3	20423001	0.9495
chr3	21632001	0.9241
chr3	22246001	1.1150
chr3	22859001	0.6489
chr3	23727001	0.7281
chr3	24624001	0.9300
chr3	25555001	0.3241
chr3	25556001	0.4267
chr3	26414001	0.7899
chr3	27622001	0.7201
chr3	28550001	0.2512
chr3	29164001	0.3572
chr3	30077001	0.7207
chr3	31159001	0.7718
chr3	31878001	0.5208
chr3	32842001	0.6955
chr3	33957001	0.7387
chr3	34565001	0.8303
chr3	35187001	0.7356
chr3	36945001	0.6830
chr3	37570001	0.7840
chr3	38138001	0.8134
chr3	38139001	0.8539
chr3	38140001	2.0465
chr3	38141001	3.7370
chr3	38142001	4.3246
chr3	38143001	NaN
chr3	38499001	0.6851
chr3	39172001	0.6802
chr3	40294001	0.7044
chr3	41127001	0.6397
chr3	41199001	NaN
chr3	41224001	2.5817
chr3	41225001	3.9786
chr3	41227001	0.7955
chr3	41233001	2.6293
chr3	41234001	1.2126
chr3	41235001	0.8654
chr3	41236001	1.6754
chr3	41237001	0.8135
chr3	41238001	0.6813
chr3	41239001	4.0895
chr3	41240001	2.1432
chr3	42099001	0.6592
chr3	43135001	0.8853
chr3	43924001	0.6036
chr3	44784001	0.2124
chr3	45417001	0.3193
chr3	46107001	0.6812
chr3	46921001	0.6529
chr3	47016001	2.8089
chr3	47017001	1.9948
chr3	47019001	0.8138
chr3	47037001	0.7766
chr3	47042001	0.8029
chr3	47046001	0.8253
chr3	47056001	1.0222
chr3	47057001	2.2930
chr3	47062001	1.2166
chr3	47067001	0.7553
chr3	47083001	1.6696
chr3	47084001	2.1247
chr3	47086001	0.7039
chr3	47088001	0.9031
chr3	47097001	0.4786
chr3	47098001	0.4320
chr3	47101001	0.8539
chr3	47103001	1.0680
chr3	47105001	NaN
chr3	47106001	0.5664
chr3	47113001	0.6003
chr3	47116001	1.0978
chr3	47120001	4.2583
chr3	47121001	5.7497
chr3	47122001	6.8613
chr3	47123001	5.4938
chr3	47124001	2.7524
chr3	47126001	1.3856
chr3	47163001	NaN
chr3	47164001	NaN
chr3	47565001	0.5689
chr3	48445001	0.6140
chr3	50578001	0.6825
chr3	51592001	0.7278
chr3	52304001	0.7226
chr3	53238001	0.6295
chr3	53852001	0.6746
chr3	55031001	0.6284
chr3	55973001	0.6665
chr3	57126001	0.8022
chr3	57851001	0.3468
chr3	58624001	0.8544
chr3	59919001	0.5886
chr3	60525001	0.5438
chr3	61158001	0.2047
chr3	62017001	0.6188
chr3	63278001	0.5684
chr3	64135001	0.8583
chr3	65258001	0.7383
chr3	66151001	0.6483
chr3	66793001	0.7813
chr3	67681001	0.9214
chr3	68550001	0.7215
chr3	69225001	0.4549
chr3	70648001	0.5522
chr3	71251001	0.7581
chr3	71895001	0.6818
chr3	72501001	0.6686
chr3	73686001	0.5103
chr3	73687001	0.3207
chr3	74500001	0.7605
chr3	75490001	0.2370
chr3	75491001	0.2289
chr3	76422001	0.3823
chr3	77337001	0.7242
chr3	78275001	0.8020
chr3	79422001	0.4943
chr3	79423001	0.3120
chr3	80980001	0.8180
chr3	81664001	0.5630
chr3	82415001	0.3037
chr3	83955001	1.0125
chr3	84610001	0.9185
chr3	86001001	0.5826
chr3	86673001	0.6873
chr3	87599001	0.9008
chr3	88448001	NaN
chr3	89057001	0.8500
chr3	93988001	0.6420
chr3	94926001	0.7220
chr3	94927001	NaN
chr3	95985001	0.6752
chr3	97777001	0.9193
chr3	98434001	0.6468
chr3	99439001	0.8798
chr3	100315001	0.2482
chr3	100316001	0.5957
chr3	101124001	1.1449
chr3	102171001	0.3104
chr3	102172001	0.7072
chr3	103138001	0.7326
chr3	103838001	0.8755
chr3	104924001	0.2983
chr3	105629001	0.1558
chr3	105630001	NaN
chr3	105655001	4.3330
chr3	105656001	6.5316
chr3	105657001	6.2868
chr3	105658001	5.5178
chr3	105659001	1.2019
chr3	105670001	0.9566
chr3	105678001	0.8776
chr3	105681001	1.6034
chr3	105685001	1.1196
chr3	105693001	0.9418
chr3	105702001	1.5347
chr3	105703001	1.2281
chr3	105704001	0.8607
chr3	105720001	1.0967
chr3	105734001	0.6873
chr3	105737001	1.2751
chr3	105740001	0.9664
chr3	105745001	0.5867
chr3	105746001	0.7090
chr3	105751001	1.2420
chr3	105776001	1.1214
chr3	105853001	2.0242
chr3	105867001	1.4125
chr3	105868001	0.8260
chr3	105869001	NaN
chr3	106529001	0.7275
chr3	107365001	0.6175
chr3	108046001	0.6555
chr3	109547001	0.4878
chr3	110399001	0.4075
chr3	110400001	0.7273
chr3	111314001	0.5313
chr3	112386001	0.1167
chr3	112387001	0.5526
chr3	113437001	0.9538
chr3	114067001	0.5174
chr3	115382001	0.5265
chr3	116138001	0.6934
chr3	116777001	0.6777
chr3	117413001	0.7093
chr3	118284001	1.1378
chr3	118888001	0.6445
chr3	119491001	0.4650
chr3	120271001	0.4688
chr3	120272001	0.3056
chr3	122492001	0.8416
chr3	123120001	0.2568
chr3	123121001	0.4823
chr3	123799001	0.7258
chr3	125209001	0.6636
chr3	126110001	0.7010
chr3	126764001	0.4452
chr3	127684001	0.8263
chr3	128479001	1.5625
chr3	128480001	4.2700
chr3	128481001	2.0477
chr3	128482001	NaN
chr3	128483001	3.0902
chr3	128484001	NaN
chr3	128485001	1.2313
chr3	128486001	2.0145
chr3	128487001	NaN
chr3	128492001	NaN
chr3	128493001	NaN
chr3	128861001	0.6021
chr3	129992001	0.4654
chr3	129993001	0.2372
chr3	130840001	0.1281
chr3	131453001	0.6719
chr3	132502001	0.8312
chr3	133354001	0.5340
chr3	134389001	0.5812
chr3	135160001	0.6854
chr3	136958001	0.4923
chr3	137854001	0.9108
chr3	138455001	0.7435
chr3	139122001	0.7449
chr3	140301001	0.6386
chr3	141279001	0.7918
chr3	142991001	0.8741
chr3	143974001	0.8830
chr3	144765001	0.8327
chr3	146883001	0.1356
chr3	146884001	0.4113
chr3	148245001	0.6908
chr3	148968001	0.7566
chr3	150469001	0.5897
chr3	151092001	0.7420
chr3	152305001	0.7721
chr3	152913001	0.6111
chr3	153807001	1.1259
chr3	154417001	0.9019
chr3	155313001	0.7942
chr3	156291001	0.7581
chr3	157437001	0.5800
chr3	158332001	0.4702
chr3	159115001	0.7037
chr3	159817001	0.6756
chr3	160694001	0.6781
chr3	161330001	0.5352
chr3	162554001	0.7061
chr3	163439001	0.7732
chr3	164041001	0.7132
chr3	165254001	0.2304
chr3	165255001	0.6599
chr3	166401001	0.5399
chr3	167348001	0.7756
chr3	168185001	0.2960
chr3	168186001	0.5017
chr3	168863001	0.8043
